,0
0,532.306152
1,533.180664
2,521.285706
3,530.556763
4,528.457764
5,527.757935
6,530.731873
7,527.757935
8,527.932922
9,520.411011
10,517.787170
11,519.536438
12,527.233154
13,527.757935
14,526.533569
15,511.839600
16,513.588806
17,514.813293
18,522.684998
19,523.909607
20,525.134033
21,527.932922
22,538.603577
23,538.778503
24,537.029175
25,539.128418
26,542.451843
27,544.376221
28,547.524963
29,545.425842
30,551.548218
31,548.924255
32,547.000183
33,554.521973
34,559.769836
35,561.519043
36,562.393738
37,568.691101
38,580.061523
39,565.892395
40,565.017700
41,565.892395
42,560.819397
43,562.568726
44,569.565735
45,568.166443
46,570.440430
47,561.519043
48,563.968079
49,566.941956
50,559.769836
51,572.189758
52,565.892395
53,556.795959
54,561.519043
55,568.691101
56,568.516296
57,572.189758
58,569.915588
59,578.137268
60,572.889404
61,571.839722
62,576.212952
63,573.414246
64,572.889404
65,576.038086
66,574.288879
67,577.262634
68,581.635864
69,585.484253
70,596.854614
71,598.603882
72,599.303650
73,597.904114
74,601.516479
75,589.742981
76,589.386169
77,590.456421
78,594.024292
79,595.808105
80,600.624512
81,601.338013
82,607.224792
83,612.576355
84,609.543884
85,606.689636
86,604.370544
87,597.770264
88,604.013855
89,609.543884
90,605.440857
91,602.051575
92,608.116760
93,599.197449
94,597.591980
95,598.305481
96,611.327698
97,610.614136
98,611.149292
99,608.651917
100,605.084167
101,600.624512
102,603.478699
103,607.403198
104,605.976135
105,604.548950
106,605.797668
107,611.862854
108,612.933105
109,622.387573
110,631.485229
111,634.339478
112,635.588013
113,635.588013
114,641.296387
115,635.766479
116,624.171448
117,627.382446
118,616.322449
119,617.214417
120,618.463074
121,622.209167
122,622.744385
123,618.106323
124,626.847168
125,627.382446
126,638.085571
127,638.620728
128,639.155823
129,640.226074
130,645.399414
131,641.296387
132,651.821289
133,657.707947
134,649.680664
135,653.783447
136,662.524353
137,660.740479
138,663.951477
139,653.783447
140,640.939636
141,651.286072
142,658.956665
143,663.237976
144,670.373230
145,676.616882
146,668.946106
147,670.551697
148,675.546509
149,669.303040
150,666.270386
151,669.124634
152,671.443542
153,668.589417
154,673.762695
155,673.762695
156,670.373230
157,671.800415
158,672.692261
159,692.849854
160,686.784790
161,685.357666
162,703.731506
163,697.666321
164,681.611633
165,678.400635
166,668.946106
167,654.853699
168,651.107666
169,662.167603
170,668.767761
171,681.076477
172,674.654602
173,670.194946
174,669.838135
175,654.996826
176,669.568359
177,681.261475
178,676.584229
179,685.219116
180,690.795837
181,695.113342
182,698.531372
183,694.573730
184,697.991760
185,706.086975
186,709.684937
187,710.404419
188,713.282715
189,707.346191
190,710.404419
191,701.589539
192,692.594849
193,699.610779
194,701.229797
195,697.811768
196,687.377930
197,700.330200
198,701.049927
199,704.467957
200,705.907043
201,711.124023
202,714.362122
203,709.864746
204,725.515625
205,725.335693
206,729.293335
207,722.817078
208,706.266846
209,715.621277
210,725.875488
211,720.838257
212,709.145264
213,716.520874
214,715.981140
215,739.547424
216,727.674316
217,739.727356
218,728.213928
219,739.727356
220,751.060547
221,745.124146
222,746.923096
223,743.325195
224,742.065857
225,739.727356
226,752.679626
227,756.637512
228,765.272339
229,759.335815
230,755.558044
231,758.616272
232,754.658508
233,757.177063
234,756.457458
235,751.960022
236,754.838440
237,759.515625
238,759.155884
239,760.235291
240,769.949524
241,781.642700
242,780.743225
243,777.145447
244,777.145447
245,781.103027
246,786.320007
247,796.573975
248,798.732788
249,803.410034
250,804.129639
251,776.245911
252,778.944275
253,773.907349
254,776.245911
255,789.917908
256,790.097900
257,780.563354
258,764.552734
259,756.997131
260,780.743225
261,792.256531
262,785.780334
263,790.817444
264,794.055481
265,787.039612
266,798.372925
267,801.071289
268,809.166626
269,806.468140
270,807.007874
271,809.526428
272,805.928589
273,801.431213
274,794.595215
275,789.917908
276,784.341187
277,782.722168
278,785.780334
279,784.521057
280,790.817444
281,797.473450
282,812.944397
283,804.669250
284,803.949707
285,813.843811
286,803.230042
287,823.738098
288,805.928589
289,810.425903
290,817.261841
291,819.060791
292,819.060791
293,821.039795
294,812.764465
295,812.224792
296,816.722229
297,815.822754
298,821.939209
299,825.357117
300,828.055603
301,828.775269
302,841.007996
303,815.462952
304,831.113770
305,830.394287
306,827.515930
307,828.775269
308,806.468140
309,800.351746
310,793.335938
311,770.849060
312,738.647949
313,748.901855
314,774.986694
315,790.637451
316,789.558167
317,764.192932
318,728.753662
319,726.954773
320,728.753662
321,660.213867
322,672.806396
323,625.494080
324,624.954407
325,643.303711
326,605.300293
327,640.549805
328,629.901550
329,707.377014
330,722.247925
331,725.185364
332,695.627136
333,688.283508
334,701.318604
335,679.287598
336,686.447571
337,684.244568
338,703.154358
339,716.923767
340,718.943298
341,758.598938
342,752.724060
343,741.892151
344,727.204895
345,754.376343
346,748.134277
347,738.954712
348,754.559998
349,756.763123
350,755.845154
351,753.825623
352,750.888123
353,764.841125
354,761.536438
355,744.095276
356,734.181335
357,737.118835
358,728.857178
359,754.927185
360,769.063599
361,748.317932
362,743.911682
363,724.634644
364,730.693054
365,745.380310
366,742.442932
367,752.356812
368,754.927185
369,762.270813
370,765.758972
371,772.184814
372,778.426819
373,770.715942
374,773.102600
375,792.930481
376,801.192078
377,812.574768
378,819.551270
379,812.391174
380,788.340698
381,784.485352
382,783.200195
383,800.090576
384,807.801392
385,808.719299
386,812.391174
387,809.820862
388,808.168640
389,819.918457
390,821.754333
391,809.637329
392,808.535767
393,821.754333
394,819.367615
395,821.570740
396,836.808716
397,846.539185
398,838.461121
399,847.824341
400,839.929932
401,834.422119
402,837.175964
403,859.757690
404,864.347412
405,859.206970
406,861.777222
407,844.152405
408,845.621216
409,854.617188
410,856.085754
411,864.531067
412,864.714661
413,849.109436
414,848.191406
415,859.023315
416,874.261475
417,873.527039
418,889.683044
419,895.557983
420,884.175293
421,906.573547
422,897.026733
423,903.268921
424,893.905701
425,876.648132
426,891.702698
427,890.500671
428,890.500671
429,899.376099
430,879.406433
431,873.304565
432,889.021423
433,894.753540
434,891.240417
435,881.255554
436,894.013916
437,881.070557
438,880.885681
439,870.900879
440,880.146118
441,873.119690
442,848.342468
443,856.293396
444,867.017883
445,873.489441
446,869.236694
447,864.798950
448,869.051819
449,867.757385
450,872.010254
451,891.980042
452,892.164856
453,873.859253
454,878.112122
455,872.749817
456,866.278259
457,871.270691
458,882.179993
459,860.915955
460,862.025452
461,882.549805
462,883.844116
463,885.323425
464,887.357361
465,872.934753
466,869.051819
467,872.934753
468,876.447937
469,872.749817
470,867.387695
471,859.991455
472,852.780212
473,845.199158
474,867.017883
475,859.066956
476,864.614075
477,865.353699
478,852.965088
479,847.972656
480,825.414246
481,822.455750
482,833.919861
483,838.172729
484,850.746216
485,868.312134
486,880.146118
487,879.776245
488,836.693420
489,805.444641
490,859.806580
491,859.621643
492,854.629272
493,829.112366
494,829.482117
495,836.323669
496,840.021667
497,841.131104
498,829.297241
499,838.727478
500,849.451904
501,839.467041
502,833.365173
503,843.165161
504,845.199158
505,839.651917
506,850.561279
507,836.323669
508,830.776489
509,834.844421
510,836.138672
511,836.138672
512,836.323669
513,840.206604
514,839.467041
515,869.051819
516,872.934753
517,853.334900
518,846.308533
519,854.259399
