,0
0,1923.000854
1,1895.142334
2,1810.772705
3,1864.498901
4,1844.202393
5,1861.314941
6,1869.274780
7,1863.304443
8,1864.498901
9,1848.181763
10,1804.007080
11,1827.885254
12,1803.608643
13,1804.007080
14,1806.792847
15,1790.476196
16,1831.467041
17,1836.640381
18,1862.906860
19,1863.702759
20,1884.795044
21,1884.795044
22,1877.632202
23,1890.765137
24,1903.898193
25,1879.621094
26,1866.488403
27,1883.999268
28,1854.947998
29,1834.650879
30,1880.019409
31,1887.979492
32,1840.620850
33,1796.445557
34,1803.608643
35,1792.068115
36,1761.423828
37,1781.322510
38,1811.568481
39,1880.019409
40,1897.530396
41,1920.612671
42,1958.021973
43,1956.828369
44,1926.980713
45,1921.409180
46,1931.756104
47,1942.103149
48,1953.644775
49,1960.462280
50,1958.039185
51,1950.365356
52,1947.537598
53,1961.269897
54,1946.729736
55,1937.440430
56,1930.978760
57,1918.861938
58,1910.784302
59,1897.859619
60,1898.667725
61,1899.879395
62,1916.035034
63,1918.457764
64,1907.956665
65,1879.281128
66,1888.974121
67,1897.456055
68,1910.380371
69,1919.265503
70,1924.112427
71,1952.788208
72,1958.846558
73,1957.635010
74,1984.695557
75,1931.786499
76,1924.920410
77,1932.190308
78,1918.054199
79,1930.978760
80,1949.557373
81,1951.576660
82,1965.712158
83,1966.116577
84,1970.963013
85,1999.639404
86,2023.468262
87,2004.081421
88,2011.755371
89,2008.524414
90,2002.466431
91,1993.580933
92,1993.580933
93,2004.485840
94,1992.369141
95,2036.392578
96,1997.619507
97,1999.639404
98,1970.155884
99,1962.885498
100,1979.041016
101,1949.557373
102,1981.868042
103,1982.675903
104,1918.457764
105,1948.749878
106,1951.980469
107,1960.058472
108,1977.021240
109,2011.755371
110,2034.777588
111,2067.135254
112,2079.022217
113,2081.481201
114,2081.071533
115,2081.481201
116,2028.604004
117,2038.851563
118,2034.342529
119,2016.716919
120,2021.635742
121,2017.536377
122,2026.964844
123,2015.897095
124,2017.126587
125,2048.688721
126,2068.364014
127,2083.530518
128,2084.350586
129,2062.215576
130,2057.706543
131,2061.806152
132,2063.445801
133,2086.399902
134,2087.219971
135,2108.944092
136,2118.372070
137,2120.421875
138,2128.209961
139,2141.327393
140,2117.143066
141,2108.944092
142,2128.619873
143,2125.750244
144,2114.273438
145,2120.831543
146,2120.011963
147,2112.633789
148,2122.471680
149,2135.178955
150,2134.359375
151,2121.651367
152,2125.341064
153,2125.750244
154,2092.958496
155,2066.724609
156,2081.481201
157,2095.008057
158,2103.206055
159,2083.530518
160,2081.890869
161,2088.859619
162,2133.539063
163,2141.327393
164,2126.570801
165,2021.635742
166,1970.397705
167,1936.375732
168,1912.191284
169,1910.552490
170,1952.772217
171,1945.394287
172,1948.673218
173,1965.889282
174,1922.029419
175,1895.788574
176,1894.122070
177,1929.121216
178,1906.621460
179,1936.203857
180,1906.204834
181,1888.705200
182,1873.289063
183,1900.371216
184,1913.704834
185,1896.204956
186,1913.287842
187,1899.538208
188,1910.371460
189,1903.705200
190,1882.871948
191,1897.038330
192,1939.537354
193,1921.204590
194,1908.288086
195,1902.038208
196,1942.454224
197,1945.370605
198,1947.870605
199,1952.453979
200,1952.870361
201,1961.203369
202,1942.870728
203,1948.704102
204,1969.119995
205,2007.035522
206,1986.619873
207,1992.036133
208,1920.787598
209,1905.371704
210,1932.454224
211,1951.620605
212,1934.954224
213,1932.870605
214,1929.537598
215,1908.704590
216,1907.871460
217,1886.621582
218,1873.705688
219,1882.038574
220,1866.622681
221,1865.789307
222,1901.205078
223,1919.120850
224,1934.537720
225,1937.871094
226,1941.620850
227,1941.203979
228,1940.787598
229,1860.788818
230,1883.705444
231,1923.704224
232,1940.787598
233,1949.120239
234,1952.037476
235,1950.787231
236,1941.203979
237,1951.203613
238,1946.620239
239,1942.160645
240,1953.162109
241,1940.890991
242,1934.544434
243,1921.004150
244,1915.080688
245,1930.736084
246,1925.658813
247,1909.579956
248,1893.923828
249,1895.616455
250,1871.075317
251,1874.883179
252,1828.762329
253,1831.300903
254,1814.799194
255,1845.687378
256,1841.879028
257,1840.609863
258,1834.686401
259,1849.072388
260,1821.569214
261,1841.033081
262,1889.692749
263,1899.001465
