,0
0,1652.705078
1,1599.392212
2,1529.614624
3,1565.679565
4,1516.286621
5,1559.407104
6,1596.255981
7,1575.871704
8,1574.303711
9,1569.599365
10,1593.119873
11,1579.007690
12,1637.024780
13,1638.592773
14,1635.456787
15,1613.504517
16,1633.888672
17,1632.320801
18,1660.545166
19,1637.024780
20,1720.130493
21,1630.752808
22,1731.106812
23,1775.011963
24,1759.331421
25,1679.361816
26,1696.610229
27,1710.722290
28,1688.769775
29,1702.882080
30,1740.514893
31,1698.177979
32,1685.633667
33,1674.657715
34,1654.273193
35,1718.562500
36,1720.130493
37,1770.307495
38,1820.484497
39,1726.402588
40,1734.242798
41,1693.473999
42,1779.715698
43,1807.940430
44,1701.314087
45,1684.065674
46,1749.923096
47,1776.579590
48,1900.454346
49,1845.573120
50,1834.596558
51,1806.372314
52,1818.916260
53,1784.419678
54,1754.627319
55,1760.899414
56,1787.555786
57,1778.147705
58,1724.834839
59,1679.361816
60,1712.290527
61,1748.355347
62,1762.467529
63,1778.147705
64,1693.473999
65,1655.841309
66,1702.882080
67,1698.177979
68,1709.154419
69,1685.633667
70,1707.586426
71,1737.378784
72,1793.828247
73,1818.916260
74,1792.259888
75,1713.858398
76,1690.338013
77,1646.433105
78,1657.409302
79,1643.296997
80,1688.769775
81,1701.314087
82,1759.331421
83,1806.372314
84,1822.052734
85,1853.413208
86,1854.980957
87,1783.635986
88,1817.348267
89,1822.365601
90,1869.300293
91,1860.399292
92,1876.583740
93,1910.570923
94,1920.281250
95,1959.124268
96,1879.010986
97,1856.352905
98,1906.524414
99,1897.622925
100,1816.700928
101,1828.839478
102,1879.010986
103,1883.866455
104,1853.115845
105,1849.879150
106,1821.556519
107,1809.417847
108,1752.772583
109,1781.095215
110,1753.582031
111,1796.470581
112,1761.674072
113,1740.634277
114,1768.147583
115,1865.254272
116,1784.332275
117,1825.602417
118,1797.279663
119,1766.529419
120,1782.713745
121,1780.286377
122,1797.279663
123,1787.569214
124,1787.569214
125,1775.430786
126,1845.023804
127,1848.260620
128,1884.675537
129,1844.214478
130,1932.419678
131,1921.090698
132,1917.044678
133,1958.314697
134,1968.834717
135,1951.841064
136,1885.484863
137,1882.247803
138,1942.130127
139,1957.505493
140,1942.939819
141,1927.564575
142,1993.920410
143,1994.729492
144,2052.993408
145,2042.473999
146,2006.867920
147,1997.157471
148,1995.539063
149,2055.421387
150,2057.039551
151,2112.066650
152,2149.290771
153,2112.066650
154,2095.882324
155,2071.605469
156,2057.039551
157,2084.553467
158,2162.238281
159,2173.567627
160,2157.383057
161,2129.869141
162,2141.198730
163,2108.830078
164,2110.447998
165,2084.553467
166,2039.236694
167,1972.880737
168,1929.182861
169,1922.709229
170,1997.157471
171,1982.591431
172,1980.973022
173,2005.249512
174,1964.788452
175,1919.472290
176,1969.644043
177,1979.354248
178,1945.366943
179,1997.157471
180,1974.498779
181,1951.841064
182,2014.960205
183,1984.209717
184,2021.434326
185,2052.184326
186,2040.855347
187,1990.683472
188,2011.723389
189,2040.855347
190,2110.447998
191,2103.974365
192,2123.395996
193,2144.435303
194,2134.725098
195,2150.909424
196,2108.830078
197,2045.710327
198,2027.907471
199,2008.486328
200,1989.065063
201,1942.130127
202,1921.090698
203,1904.906372
204,1939.219116
205,2008.009033
206,1993.268433
207,2001.457520
208,1950.684204
209,1908.100098
210,1968.700562
211,1985.078857
212,2001.457520
213,1994.906250
214,2017.836182
215,2071.885254
216,2037.490479
217,2099.728516
218,2075.161133
219,2001.457520
220,2021.111816
221,2053.868652
222,2047.317627
223,2055.506592
224,2089.902100
225,2114.469238
226,2129.210449
227,2081.712158
228,2125.934814
229,2106.280029
230,2158.691406
231,2258.600586
232,2222.568115
233,2206.189453
234,2260.238525
235,2198.000244
236,2191.448975
237,2220.930176
238,2224.205811
239,2227.481689
240,2237.308594
241,2234.032715
242,2207.827148
243,2199.637695
244,2173.432129
245,2229.119141
246,2265.152100
247,2260.238525
248,2271.703369
249,2250.411621
250,2235.670898
251,2227.481689
252,2194.724365
253,2211.102783
254,2134.123535
255,2175.070313
256,2181.621338
257,2184.897461
258,2214.378662
259,2242.222168
260,2260.238525
261,2329.028564
262,2338.855713
263,2360.147949
264,2376.526367
265,2404.369629
266,2415.834717
267,2402.731934
268,2428.937500
269,2401.094238
270,2391.266846
271,2409.283447
272,2387.990967
273,2350.320557
274,2369.975098
275,2342.131348
276,2350.320557
277,2314.287842
278,2353.596436
279,2314.287842
280,2324.114990
281,2253.687256
282,2225.843506
283,2240.584229
284,2227.481689
285,2240.584229
286,2242.222168
287,2250.411621
288,2181.621338
289,2201.276123
290,2247.135742
291,2224.205811
292,2153.778076
293,2209.464844
294,2225.843506
295,2374.888184
296,2330.666504
297,2406.008057
298,2425.661865
299,2448.591553
300,2464.970459
301,2410.921143
302,2373.250244
303,2350.320557
304,2279.892822
305,2329.028564
306,2345.406982
307,2317.563477
308,2188.172852
309,2168.518799
310,2245.497803
311,2173.432129
312,2127.572266
313,2134.123535
314,2198.000244
315,2238.946289
316,2189.810547
317,2084.987549
318,1973.613770
319,1983.441650
320,1916.289429
321,1727.936157
322,1827.845337
323,1688.627441
324,1785.261108
325,1659.145996
326,1628.026855
327,1701.730347
328,1591.994141
329,1834.396484
330,1883.531982
331,1965.424805
332,1813.104492
333,1816.380127
334,1875.342773
335,1822.931641
336,1865.515625
337,1772.158203
338,1888.445923
339,1908.100098
340,1899.910767
341,1901.548584
342,1850.775024
343,1770.520020
344,1909.109497
345,1955.050415
346,1917.616821
347,1885.287842
348,1972.065674
349,2028.215576
350,1999.289795
351,2079.261719
352,2142.218018
353,2183.054688
354,2133.710205
355,2075.858398
356,2086.067627
357,2048.634277
358,2074.157471
359,2138.815430
360,2147.322510
361,2109.889160
362,2109.889160
363,2035.022217
364,2084.366211
365,2228.995850
366,2193.263428
367,2235.801758
368,2240.906006
369,2256.220215
370,2286.847412
371,2295.355469
372,2246.010986
373,2244.309570
374,2271.533936
375,2242.607910
376,2273.235596
377,2211.980225
378,2256.220215
379,2232.398926
380,2154.128174
381,2184.756348
382,2091.172607
383,2092.874023
384,2120.097900
385,2208.577637
386,2211.980225
387,2220.487793
388,2293.653809
389,2276.638428
390,2268.131104
391,2203.473145
392,2181.353271
393,2242.607910
394,2283.444580
395,2280.041260
396,2261.324951
397,2167.740967
398,2177.949951
399,2239.205078
400,2145.621338
401,2118.396973
402,2074.157471
403,2096.276855
404,2101.381592
405,2077.560059
406,2109.889160
407,2137.113525
408,2137.113525
409,2092.874023
410,2091.172607
411,2149.024170
412,2120.097900
413,2097.978516
414,2121.799805
415,2111.590332
416,2211.980225
417,2176.248291
418,2160.934814
419,2276.638428
420,2235.801758
421,2247.712646
422,2251.115723
423,2291.952148
424,2246.010986
425,2320.877930
426,2365.117920
427,2365.906006
428,2386.936523
429,2432.502197
430,2399.204102
431,2416.729248
432,2357.143799
433,2350.133301
434,2430.749512
435,2416.729248
436,2453.532471
437,2413.224609
438,2343.123535
439,2355.391113
440,2395.699463
441,2343.123535
442,2385.183838
443,2421.987061
444,2460.542480
445,2465.799805
446,2486.830078
447,2535.900879
448,2558.683838
449,2688.370361
450,2665.587891
451,2656.825195
452,2649.814697
453,2548.168701
454,2539.406006
455,2606.002197
456,2541.158691
457,2539.406006
458,2607.754639
459,2702.390625
460,2663.834961
461,2740.946289
462,2746.203857
463,2740.946289
464,2721.668457
465,2781.254150
466,2707.648438
467,2767.233887
468,2825.067871
469,2751.461182
470,2775.996826
471,2686.617676
472,2821.562500
473,2770.739014
474,2793.521729
475,2735.688721
476,2726.925537
477,2737.441406
478,2670.845459
479,2600.744385
480,2562.188721
481,2544.663818
482,2551.673828
483,2648.062500
484,2711.153320
485,2816.304932
486,2833.830078
487,2842.592529
488,2777.749023
489,2814.552490
490,2886.405762
491,2805.789551
492,2835.582520
493,2875.890381
494,2919.703369
495,2875.890381
496,2847.521484
497,2806.867676
498,2817.472900
499,2806.867676
500,2753.841064
501,2789.191895
502,2840.451416
503,2810.402832
504,2900.547852
505,2907.617920
506,2870.499512
507,2893.477539
508,2967.714600
509,3049.021729
510,2981.855225
511,3026.043945
512,3013.670898
513,3045.486816
514,3075.534912
515,3034.881592
516,3063.162354
517,3098.513428
518,3024.276367
519,3049.021729
520,3040.184082
521,3011.903320
522,3126.794189
523,3068.465088
524,3036.648926
525,3165.680176
526,3059.627197
527,3193.960938
528,3241.684814
529,3239.917236
530,3201.031006
531,3222.241699
