,0
0,266.181915
1,264.238373
2,248.852097
3,250.309753
4,247.799393
5,250.390778
6,256.140350
7,254.925598
8,252.091293
9,248.690186
10,244.236252
11,239.782364
12,239.134521
13,243.021561
14,239.863342
15,236.624115
16,242.130768
17,242.373703
18,243.588379
19,237.190979
20,248.123291
21,247.799393
22,262.375763
23,270.635803
24,273.146149
25,264.805237
26,265.210052
27,264.481262
28,266.505798
29,265.696045
30,273.065216
31,273.065216
32,271.688477
33,256.950104
34,257.031067
35,259.541504
36,258.245819
37,270.797729
38,281.892029
39,273.065216
40,275.251648
41,276.952271
42,283.430664
43,285.617126
44,269.826019
45,266.262787
46,270.959717
47,272.093445
48,284.240448
49,285.455170
50,286.265015
51,280.596344
52,278.814758
53,283.025787
54,272.822235
55,269.987946
56,276.547302
57,279.462616
58,281.730072
59,271.688477
60,272.903259
61,280.677338
62,282.701813
63,293.229218
64,282.944733
65,272.984222
66,275.089722
67,274.603790
68,274.441895
69,278.247925
70,281.487152
71,282.620880
72,288.613403
73,288.208466
74,289.261230
75,277.195221
76,267.315582
77,263.509552
78,267.963470
79,265.048157
80,272.012451
81,278.571869
82,281.244202
83,286.507874
84,283.960052
85,285.768250
86,283.302612
87,279.521942
88,281.001282
89,282.973785
90,292.261078
91,295.137665
92,289.548828
93,291.767914
94,292.836334
95,295.877350
96,295.712921
97,300.315491
98,301.301788
99,306.315247
100,293.411743
101,297.685455
102,297.521118
103,297.521118
104,286.014740
105,286.014740
106,275.823425
107,279.110962
108,273.522125
109,277.878143
110,271.714020
111,272.371521
112,268.755280
113,261.687073
114,263.823944
115,273.768738
116,264.645844
117,266.453979
118,265.878662
119,259.303589
120,261.851440
121,259.714569
122,259.385834
123,264.317139
124,268.015594
125,265.549957
126,270.234589
127,273.275635
128,282.645081
129,282.069733
130,296.534851
131,287.740692
132,273.029022
133,283.713470
134,291.028290
135,288.809143
136,290.452911
137,284.206604
138,292.754211
139,294.397919
140,294.397919
141,297.932037
142,299.986755
143,302.288055
144,302.863342
145,301.959229
146,299.493591
147,296.123932
148,288.398224
149,286.507935
150,292.178864
151,301.630524
152,302.205841
153,304.507111
154,300.151154
155,298.671722
156,293.576080
157,301.630524
158,311.986237
159,315.273743
160,308.205566
161,308.616547
162,303.438629
163,300.479889
164,293.165161
165,285.439453
166,277.960297
167,263.741760
168,263.166473
169,263.248657
170,273.933105
171,272.864655
172,269.905884
173,273.686554
174,263.659576
175,253.057297
176,257.906403
177,266.947113
178,264.810211
179,273.357788
180,271.549622
181,266.453979
182,272.618103
183,269.001831
184,272.618103
185,279.439697
186,280.754730
187,270.974304
188,279.193176
189,283.795624
190,286.590149
191,286.754486
192,291.028290
193,296.206116
194,296.041748
195,302.326660
196,302.205841
197,294.644531
198,293.658234
199,294.808929
200,283.631287
201,281.001282
202,283.713470
203,282.480713
204,283.631287
205,291.028290
206,296.206116
207,293.000763
208,283.466919
209,276.080994
210,284.400818
211,289.494537
212,289.664368
213,286.438293
