,0
0,490.960480
1,482.214417
2,454.993469
3,465.999725
4,463.100739
5,482.951477
6,484.622040
7,481.772217
8,479.905060
9,471.404572
10,463.149902
11,469.340942
12,451.209991
13,447.131714
14,435.290131
15,446.050812
16,456.025269
17,458.875122
18,450.915161
19,433.717834
20,451.111664
21,458.727692
22,463.248108
23,473.664856
24,477.300903
25,471.355499
26,467.768646
27,474.549316
28,474.205322
29,474.205322
30,480.740387
31,477.006104
32,469.734009
33,460.889648
34,464.230865
35,465.803223
36,460.398254
37,457.646698
38,463.542999
39,475.286346
40,476.318207
41,479.069733
42,487.422760
43,486.292694
44,475.138947
45,474.401917
46,486.145294
47,489.093414
48,490.960480
49,490.370941
50,490.174347
51,488.405457
52,488.405457
53,488.798584
54,481.919586
55,484.081573
56,489.977814
57,485.457336
58,479.757629
59,485.260773
60,482.902283
61,486.046936
62,490.960480
63,487.226227
64,480.740387
65,478.185333
66,488.208893
67,490.174347
68,487.029724
69,485.457336
70,487.815826
71,489.388184
72,490.764008
73,491.844940
74,500.689270
75,484.867737
76,477.595673
77,482.509216
78,481.526550
79,491.157043
80,503.146057
81,505.111511
82,510.024963
83,518.869446
84,511.499023
85,519.852112
86,518.869446
87,519.852112
88,518.377930
89,517.395447
90,518.869446
91,513.955872
92,521.326172
93,521.326172
94,519.360779
95,525.257019
96,525.257019
97,518.869446
98,515.921265
99,523.291565
100,516.903992
101,519.360779
102,513.955872
103,521.326172
104,509.042358
105,516.903992
106,503.637421
107,505.111511
108,496.267151
109,506.585632
110,511.990479
111,522.308838
112,513.955872
113,499.215210
114,504.128754
115,506.094147
116,497.249817
117,497.249817
118,501.672028
119,493.810394
120,499.215210
121,494.793091
122,488.995087
123,492.827667
124,493.810394
125,494.047028
126,503.415192
127,514.262512
128,508.838806
129,503.415192
130,510.811127
131,506.373596
132,514.262512
133,525.602966
134,519.193115
135,527.575134
136,526.095886
137,526.095886
138,516.727783
139,514.755554
140,521.165405
141,523.137634
142,537.929443
143,538.915527
144,543.846252
145,547.790649
146,541.380859
147,539.408630
148,541.380859
149,550.749084
150,549.269836
151,542.859985
152,545.818359
153,553.707397
154,548.283813
155,539.901733
156,540.887817
157,541.380859
158,544.832275
159,544.339172
160,543.846252
161,546.311462
162,553.214294
163,556.172668
164,555.186523
165,560.610168
166,535.464111
167,513.276367
168,510.811127
169,518.700195
170,534.477966
171,528.068176
172,521.658447
173,532.505859
174,513.769470
175,499.470734
176,512.290344
177,522.644531
178,526.589050
179,532.012695
180,513.769470
181,503.908203
182,500.949890
183,506.373596
184,517.713867
185,512.783325
186,510.811127
187,509.331879
188,511.304169
189,511.797211
190,515.248657
191,513.276367
192,504.894379
193,516.727783
194,520.179199
195,519.686096
196,513.769470
197,510.811127
198,508.345856
199,513.276367
200,506.373596
201,504.401306
202,498.977570
203,491.088654
204,496.019257
205,497.498474
206,496.512329
207,497.005341
208,478.269073
209,470.380066
210,489.313599
211,489.905304
212,485.566376
213,484.974701
214,485.171875
215,493.060913
216,488.524719
217,488.130310
218,483.594086
219,480.635742
220,472.549591
221,469.985657
222,465.449524
223,465.449524
224,488.130310
225,494.047028
226,495.033142
227,501.935974
228,496.512329
229,498.484558
230,498.484558
231,504.401306
232,508.345856
233,508.838806
234,512.783325
235,512.783325
236,509.824921
237,509.331879
238,505.880432
239,504.401306
240,508.345856
241,504.894379
242,503.415192
243,511.797211
244,515.643555
245,516.632202
246,521.081787
247,522.565002
248,527.508728
249,525.531250
250,523.059265
251,516.137939
252,508.227722
253,512.677246
254,508.227722
255,513.665955
256,512.677246
257,511.688446
258,513.171570
259,521.081787
260,517.126648
261,526.025696
262,536.902100
263,541.845947
264,552.227905
265,566.070862
266,575.464050
267,574.969727
268,581.396667
269,575.958557
270,572.497803
271,579.419189
272,579.913513
273,574.475281
274,580.407959
275,583.374268
276,593.756348
277,591.778809
278,594.745117
279,592.767578
280,589.801208
281,590.790100
282,591.778809
283,590.790100
284,590.295654
285,589.306763
286,579.419189
287,584.363037
288,570.520264
289,580.902344
290,582.385498
291,575.464050
292,574.475281
293,591.284424
294,614.520447
295,614.026123
296,621.936218
297,619.464355
298,618.970032
299,628.363281
300,634.296021
301,630.340759
302,630.340759
303,632.812683
304,631.329712
305,651.599365
306,642.700500
307,632.812683
308,602.655273
309,592.273193
310,602.160889
311,577.936096
312,554.699829
313,576.452881
314,598.700195
315,603.149658
316,592.767578
317,562.610107
318,539.868286
319,549.755981
320,550.250488
321,507.238922
322,530.969421
323,505.755829
324,500.317596
325,463.139832
326,472.236542
327,513.665955
328,464.721863
329,539.868286
330,564.093262
331,558.655029
