,0
0,1302.040161
1,1303.376953
2,1266.379761
3,1314.966675
4,1302.485840
5,1333.242432
6,1351.518311
7,1337.254272
8,1324.327393
9,1307.834595
10,1279.306763
11,1294.462158
12,1298.473755
13,1284.209961
14,1284.655518
15,1270.391479
16,1293.124878
17,1305.160156
18,1273.957642
19,1244.538086
20,1277.077881
21,1265.934082
22,1256.573486
23,1270.391479
24,1289.113159
25,1285.101318
26,1269.500122
27,1285.993164
28,1289.113159
29,1289.558594
30,1297.136719
31,1311.400757
32,1287.329956
33,1277.523438
34,1273.957642
35,1265.042603
36,1253.007324
37,1262.814087
38,1273.066040
39,1279.306763
40,1276.632080
41,1281.981079
42,1309.172241
43,1302.931396
44,1377.371948
45,1350.626709
46,1310.063354
47,1308.726318
48,1300.702515
49,1302.040161
50,1293.570557
51,1292.679199
52,1281.981079
53,1281.981079
54,1275.294678
55,1277.969360
56,1285.101318
57,1269.945801
58,1272.174561
59,1280.643799
60,1282.872559
61,1291.341797
62,1306.497437
63,1303.822876
64,1300.257080
65,1297.136719
66,1303.376953
67,1318.532715
68,1314.075317
69,1310.954956
70,1319.423950
71,1324.327393
72,1331.013672
73,1335.471191
74,1363.999268
75,1340.374634
76,1333.242432
77,1344.832031
78,1335.471191
79,1351.964355
80,1357.758911
81,1361.324829
82,1360.433472
83,1360.879150
84,1354.108643
85,1364.025391
86,1358.616211
87,1365.828491
88,1361.771484
89,1348.699219
90,1345.544067
91,1335.627319
92,1342.388794
93,1327.513184
94,1302.270264
95,1331.119507
96,1325.259399
97,1337.430176
98,1352.756348
99,1350.051758
100,1334.725586
101,1329.766968
102,1369.434570
103,1414.511475
104,1426.231445
105,1420.822266
106,1445.163696
107,1453.277710
108,1453.277710
109,1464.997559
110,1469.956055
111,1478.520630
112,1469.505249
113,1472.660645
114,1469.505249
115,1486.634521
116,1479.872803
117,1492.494507
118,1514.582031
119,1493.846680
120,1506.017578
121,1500.157349
122,1512.779053
123,1487.986816
124,1507.369629
125,1510.074341
126,1526.302124
127,1522.695801
128,1517.737671
129,1527.654541
130,1525.851196
131,1535.768066
132,1551.995972
133,1550.643799
134,1541.177612
135,1551.094360
136,1545.234253
137,1555.151489
138,1539.825195
139,1518.188232
140,1526.302124
141,1537.120483
142,1549.291260
143,1559.659058
144,1587.606689
145,1580.394287
146,1549.291260
147,1559.208252
148,1570.026611
149,1570.026611
150,1573.182129
151,1558.757202
152,1581.295776
153,1582.197510
154,1583.549805
155,1565.969849
156,1562.363647
157,1574.083618
158,1583.549805
159,1586.254150
160,1597.072876
161,1619.611328
162,1666.040405
163,1679.112549
164,1675.957397
165,1735.007935
166,1697.594116
167,1666.941895
168,1638.092896
169,1658.377197
170,1691.734253
171,1697.143433
172,1710.666626
173,1708.412720
174,1705.257324
175,1694.889526
176,1710.666626
177,1727.795532
178,1727.795532
179,1753.489624
180,1739.966309
181,1742.671143
182,1746.727905
183,1773.323364
184,1774.224609
185,1771.520142
186,1794.058594
187,1791.354126
188,1783.240234
189,1753.489624
190,1781.887939
191,1743.572632
192,1698.495850
193,1711.567993
194,1717.427979
195,1688.578735
196,1696.692627
197,1720.583374
198,1721.935669
199,1724.189453
200,1729.148071
201,1733.204956
202,1753.940308
203,1746.727905
204,1768.815552
205,1767.463135
206,1766.111084
207,1739.966309
208,1671.449585
209,1679.160645
210,1709.096924
211,1732.229614
212,1734.497559
213,1729.507935
214,1710.911255
215,1687.324829
216,1687.778564
217,1664.192139
218,1660.563477
219,1672.356812
220,1659.656372
221,1512.695923
222,1536.735718
223,1518.138916
224,1540.364380
225,1534.467896
226,1528.571289
227,1533.560791
228,1555.786255
229,1499.088501
230,1509.520752
231,1505.892212
232,1499.541992
233,1501.356445
234,1504.531372
235,1497.274170
236,1484.573730
237,1479.130859
238,1510.427856
239,1501.810059
240,1500.902832
241,1518.138916
242,1508.613647
243,1498.634888
244,1515.417358
245,1543.993042
246,1573.929443
247,1569.847168
248,1592.526367
249,1585.269043
250,1570.300903
251,1559.414917
252,1525.849854
253,1506.799316
254,1516.777954
255,1520.860229
256,1519.953125
257,1528.117920
258,1535.828491
259,1539.457275
260,1573.475708
261,1606.587402
262,1637.430908
263,1641.966919
264,1666.913940
265,1666.460205
266,1689.139404
267,1705.468384
268,1688.232178
269,1674.624878
270,1662.378052
271,1661.470581
272,1675.531860
273,1643.781250
274,1662.378052
275,1662.378052
276,1675.531860
277,1692.767944
278,1695.489502
279,1701.386108
280,1714.539917
281,1700.025513
282,1716.354248
283,1714.086182
284,1724.065063
285,1720.436401
286,1705.468384
287,1750.826538
288,1711.818481
289,1726.333130
290,1739.940552
291,1701.386108
292,1656.934937
293,1663.284912
294,1684.603516
295,1703.200317
296,1708.643188
297,1692.767944
298,1693.221436
299,1685.057007
300,1666.460205
301,1651.945557
302,1650.131348
303,1658.749146
304,1657.388550
305,1673.717529
306,1795.277466
307,1745.383423
308,1714.539917
309,1675.985352
310,1668.728027
311,1658.295776
312,1577.558105
313,1605.680298
314,1627.452148
315,1613.391235
316,1606.587402
317,1522.220947
318,1436.494263
319,1395.671753
320,1366.188965
321,1196.549316
322,1187.024048
323,1115.811768
324,1055.938843
325,1045.506470
326,1115.811768
327,1200.177856
328,1107.647339
329,1274.565308
330,1283.636963
331,1272.297363
332,1294.976440
333,1305.862549
334,1301.326782
335,1265.040039
336,1236.224121
337,1253.234131
338,1317.137085
339,1354.375610
340,1381.040039
341,1438.047119
342,1413.681396
343,1371.385742
344,1390.234741
345,1416.899414
346,1450.460083
347,1400.808594
348,1422.875977
349,1428.392700
350,1403.107300
351,1437.587402
352,1431.610718
353,1449.080811
354,1432.530518
355,1384.258179
356,1419.657715
357,1461.493652
358,1490.916504
359,1524.017334
360,1477.124512
361,1515.282349
362,1453.218140
363,1392.533447
364,1402.647583
365,1503.788940
366,1483.560791
367,1527.695068
368,1535.050903
369,1526.775757
370,1509.765503
371,1508.386353
372,1565.853027
373,1509.765503
374,1528.155151
375,1523.097900
376,1562.634888
377,1556.198730
