,0
0,5952.197266
1,5843.975098
2,5655.763184
3,5735.753906
4,5749.869629
5,5801.627441
6,5956.901855
7,5942.786621
8,5740.458984
9,5585.183594
10,5731.047852
11,5651.058105
12,5646.353516
13,5552.247559
14,5712.228027
15,5688.701172
16,5792.216797
17,5872.207520
18,5796.922852
19,5599.301270
20,5749.869629
21,5834.565430
22,6036.892578
23,6145.113770
24,6126.293457
25,6027.481445
26,5952.197266
27,5952.197266
28,5942.786621
29,5923.965332
30,6027.481445
31,6102.766602
32,6055.713379
33,5947.491699
34,5961.606934
35,5872.207520
36,5933.376465
37,5999.250000
38,6145.113770
39,6027.481445
40,6051.008789
41,6126.293457
42,6272.157715
43,6305.094727
44,6225.104492
45,6126.293457
46,6225.104492
47,6196.871582
48,6220.398926
49,6305.094727
50,6286.273926
51,6356.852539
52,6328.621094
53,6370.968750
54,6366.263184
55,6385.083496
56,6380.378418
57,6361.557617
58,6262.746094
59,6272.157715
60,6361.557617
61,6422.727539
62,6455.664063
63,6446.252930
64,6592.118164
65,6507.422852
66,6639.169922
67,6672.106445
68,6700.338379
69,6705.044434
70,6662.696777
71,6596.822266
72,6667.402344
73,6667.402344
74,6728.570801
75,6648.580566
76,6578.001465
77,6648.580566
78,6634.464355
79,6672.106445
80,6766.213379
81,6874.434082
82,6963.833984
83,7053.235840
84,7081.466797
85,7170.868164
86,7213.215820
87,7180.278809
88,7255.564453
89,7392.017578
90,7415.543457
91,7537.881836
92,7566.112793
93,7561.408203
94,7556.701660
95,7721.387695
96,7843.725098
97,7749.760254
98,7763.997559
99,7759.250977
100,7830.437012
101,7730.776855
102,7740.267578
103,7778.234375
104,7688.065430
105,7782.979980
106,7635.861816
107,7711.794434
108,7650.100098
109,7987.045898
110,8091.451660
111,8257.551758
112,8238.571289
113,8153.145996
114,8153.145996
115,8333.486328
116,8281.279297
117,8418.906250
118,8210.095703
119,7977.554199
120,8010.774902
121,7934.843262
122,7977.554199
123,8043.994629
124,8100.943359
125,8006.028320
126,8124.670898
127,8314.500000
128,8314.500000
129,8338.229492
130,8328.736328
131,8257.551758
132,8276.536133
133,8442.634766
134,8376.195313
135,8528.056641
136,8646.701172
137,8760.597656
138,8841.276367
139,8793.817383
140,8708.395508
141,8717.886719
142,8846.019531
143,8836.527344
144,8921.954102
145,8774.834961
146,8580.261719
147,8556.533203
148,8433.142578
149,8347.719727
150,8267.043945
151,8252.806641
152,8323.992188
153,8395.177734
154,8414.161133
155,8333.486328
156,8323.992188
157,8319.247070
158,8319.247070
159,8323.992188
160,8328.736328
161,8428.397461
162,8518.565430
163,8570.768555
164,8537.548828
165,8627.718750
166,8342.973633
167,8067.723145
168,8172.128906
