,0
0,545.243408
1,540.042175
2,524.886597
3,531.971069
4,520.582031
5,528.653015
6,546.947388
7,544.526184
8,542.284058
9,529.101379
10,529.639587
11,531.522766
12,529.191040
13,533.585327
14,531.074463
15,521.658142
16,538.966003
17,546.409241
18,543.808655
19,526.142090
20,545.064087
21,533.226624
22,549.727356
23,551.610596
24,556.901672
25,553.224854
26,549.727356
27,550.534485
28,548.651245
29,540.759521
30,559.322998
31,560.937195
32,558.874573
33,557.798462
34,555.915161
35,560.847534
36,558.874573
37,560.219788
38,566.855957
39,550.534485
40,557.619080
41,557.170654
42,569.277161
43,573.312744
44,560.847534
45,554.211304
46,562.551392
47,563.448059
48,566.228149
49,564.883057
50,572.057312
51,563.627502
52,551.700317
53,553.135132
54,549.637695
55,546.229919
56,555.018494
57,551.520996
58,540.042175
59,539.504028
60,548.202820
61,559.681641
62,567.752625
63,565.869507
64,567.982239
65,560.817078
66,561.643860
67,563.113586
68,562.838074
69,558.979858
70,560.357727
71,567.522949
72,561.000854
73,559.255432
74,557.050720
75,531.513123
76,533.442139
77,528.849121
78,532.523560
79,536.106201
80,543.179565
81,561.827515
82,581.118530
83,591.223328
84,587.916321
85,593.060547
86,593.060547
87,594.714111
88,595.081604
89,596.551392
90,617.495911
91,616.393494
92,617.863342
93,618.046936
94,617.312195
95,616.944702
96,606.472412
97,598.755981
98,608.493408
99,614.923828
100,643.033508
101,653.322021
102,650.015015
103,652.587158
104,636.235718
105,632.010010
106,624.293640
107,624.477295
108,613.821350
109,623.742493
110,622.456360
111,636.419434
112,622.088989
113,621.905273
114,630.723938
115,632.010010
116,620.251770
117,628.886658
118,634.949707
119,623.926208
120,637.154358
121,631.091431
122,619.700562
123,627.233276
124,629.621643
125,627.049500
126,635.684570
127,649.647522
128,644.503174
129,628.151855
130,627.968140
131,621.354126
132,633.112366
133,651.852234
134,653.322021
135,650.566162
136,645.605652
137,638.072815
138,645.238159
139,649.831299
140,652.954529
141,656.077942
142,655.342957
143,663.243042
144,674.266602
145,675.552612
146,675.001404
147,673.531677
148,676.838684
149,674.082764
150,661.956970
151,656.996521
152,658.650024
153,662.508179
154,652.770874
155,656.077942
156,655.159241
157,646.340515
158,656.445251
159,626.865784
160,631.275085
161,634.031067
162,634.031067
163,627.784424
164,621.721558
165,642.298523
166,617.863342
167,586.446594
168,579.465027
169,575.974182
170,590.280640
171,581.919800
172,570.586060
173,578.203918
174,564.454773
175,559.624146
176,568.913940
177,574.487854
178,573.187256
179,578.761230
180,576.160095
181,570.771973
182,563.711609
183,567.241699
184,576.903259
185,577.832275
186,583.220398
187,580.433411
188,597.712708
189,599.942200
190,602.914978
191,612.390686
192,634.500671
193,633.943298
194,633.385864
195,651.617371
196,641.746826
197,641.003601
198,631.899536
199,641.561035
200,639.331421
201,636.358643
202,627.068787
203,627.068787
204,632.085388
205,634.500671
206,635.615540
207,619.451050
208,606.445068
209,595.668884
210,593.253418
211,592.138794
212,587.122131
213,590.094910
214,601.242859
215,608.860535
216,608.303101
217,615.549194
218,611.647522
219,612.576538
220,605.144653
221,617.778748
222,635.058044
223,639.888794
224,652.151428
225,642.861572
226,643.047424
227,645.648560
228,662.184570
229,651.222595
230,655.867432
231,667.201111
232,684.294617
233,682.808228
234,681.507568
235,674.447266
236,661.998840
237,662.370361
238,658.468628
239,653.637878
240,653.266357
241,648.063904
242,647.134888
243,637.287598
244,630.970459
245,641.189453
246,651.594116
247,654.938477
248,653.823730
249,646.577576
250,647.878235
251,644.905396
252,629.112610
253,630.784668
254,623.910217
255,627.811890
256,630.227356
257,634.314880
258,642.118408
259,667.015381
260,654.752686
261,669.988159
262,677.605896
263,680.950195
264,686.152527
265,671.846130
266,674.075623
267,675.376221
268,671.474487
269,666.829468
270,661.812988
271,668.873291
272,669.616577
273,656.796448
274,651.779846
275,649.178650
276,657.539612
277,660.140808
278,663.299438
279,665.714722
280,653.266357
281,651.779846
282,652.151428
283,649.736206
284,641.932617
285,640.074585
286,632.085388
287,639.888794
288,610.904297
289,614.991882
290,613.319702
291,603.472351
292,586.193115
293,585.821594
294,593.067749
295,595.297302
296,593.439270
297,591.581238
298,585.821594
299,597.155273
300,595.854736
301,589.165894
302,590.094910
303,590.094910
304,585.821594
305,581.734009
306,577.088928
307,582.477173
308,563.525757
309,542.902283
310,549.590942
311,530.082153
312,522.650146
313,511.316498
314,499.982758
315,518.748474
316,494.408905
317,482.703613
318,423.898438
319,439.598389
320,438.390717
321,388.503937
322,405.876068
323,410.613892
324,424.084290
325,420.832855
326,419.160645
327,414.794373
328,391.197998
329,418.603241
330,439.784210
331,446.844543
332,433.559998
333,423.155273
334,414.144073
335,384.044769
336,370.109924
337,377.541809
338,391.197998
339,403.274872
340,406.061859
341,418.881927
342,394.077911
343,366.022308
344,368.809326
345,377.634766
346,371.410461
347,354.409973
348,355.617676
349,364.071442
350,349.579193
351,355.896332
352,362.213501
353,404.110962
354,378.563721
355,379.492706
356,362.585083
357,372.339508
358,365.743652
359,384.044769
360,376.055450
361,373.082703
362,362.213501
363,360.541321
364,359.519409
365,373.733002
366,381.629395
367,384.137665
368,363.699890
369,354.874420
370,372.525299
371,382.186798
372,364.257263
373,342.240173
374,371.874939
375,372.060791
376,396.957703
377,400.394989
378,431.516235
379,427.521576
380,411.357086
381,418.045807
382,384.602173
383,396.586151
384,387.853607
385,398.165405
386,394.821075
387,393.706268
388,396.679047
389,397.793854
390,400.023438
391,390.826416
392,394.635284
393,392.591522
394,408.012756
395,408.848816
396,400.394989
397,410.799713
398,404.110962
399,424.827423
400,410.799713
401,404.668365
402,398.351196
403,403.367767
404,412.750580
405,413.493805
406,414.608551
407,416.002045
408,411.542908
409,410.892578
410,419.253510
411,413.307953
412,405.318634
413,396.028748
414,391.105072
415,391.755402
416,390.454803
417,366.115265
418,358.404633
419,363.978546
420,372.711090
421,374.754852
422,367.694550
423,372.432404
424,377.727600
425,397.700928
426,407.362427
427,393.334686
428,391.941193
429,387.203339
430,378.563721
431,383.951874
432,369.180908
433,364.071442
434,370.388611
435,361.934814
436,363.699890
437,357.104034
438,364.535950
439,350.694031
440,346.327728
441,344.283936
442,348.650238
443,358.218842
444,348.928925
445,359.240784
446,357.661438
447,352.551971
448,355.060272
449,350.136597
450,354.502899
451,346.141998
452,333.879272
453,314.463379
454,319.758606
455,327.747925
456,321.430786
457,312.884064
458,336.294678
459,326.726074
460,330.813599
461,331.278107
462,334.343781
463,336.852051
464,345.027130
465,349.114685
466,354.967346
467,350.043701
468,352.087524
469,345.027130
470,329.605896
471,334.901154
472,343.540771
473,351.715881
474,353.573914
475,350.043701
476,356.082153
477,371.038940
478,365.372070
479,357.382721
480,347.163849
481,320.501801
482,326.818939
483,333.507690
484,346.049042
485,329.698822
486,340.660919
487,339.081604
488,395.006866
489,387.853607
490,397.793854
491,386.924652
492,387.296234
493,408.291443
494,405.876068
495,412.564758
496,407.455322
497,410.521027
498,418.045807
499,436.625641
500,437.554626
501,428.450531
502,430.773010
503,420.089630
504,443.035706
505,452.882996
506,449.724457
507,455.112579
508,445.915558
509,440.620300
510,441.642181
511,443.778900
512,441.549255
513,440.991943
514,445.729767
515,437.090118
516,439.226837
517,432.631042
518,429.100861
519,430.122742
520,438.483673
521,439.041016
522,435.696655
523,438.483673
524,432.816803
525,430.494263
526,433.002533
527,473.599487
528,475.829071
529,472.298889
530,470.812500
531,475.085846
532,463.566406
533,462.823212
534,454.926788
535,456.041504
536,442.756958
537,435.882477
538,438.019135
539,429.100861
540,422.597870
541,427.335724
542,416.373688
543,422.319183
544,412.471893
545,414.144073
546,417.674286
547,414.515686
548,420.089630
549,416.466492
550,425.106140
551,423.619781
552,430.401398
553,427.800232
554,430.029816
555,446.937439
556,453.719086
557,462.172882
558,454.369415
559,457.527924
560,465.052765
561,471.369934
562,473.227844
563,444.057587
564,429.286621
565,436.625641
566,448.145111
567,461.708405
568,451.584869
569,472.399597
570,481.576996
571,471.548096
572,467.385162
573,458.396973
574,463.695282
575,466.060577
576,464.830627
577,473.629578
578,476.089508
579,464.168335
580,460.383850
581,458.113159
582,461.708405
583,466.344421
584,473.061890
585,474.954163
586,485.929138
587,472.588837
588,463.789917
589,469.371979
590,472.967255
591,477.414063
592,470.696564
593,470.128906
594,465.019867
595,465.114471
596,460.383850
597,467.385162
598,468.520508
599,449.408813
600,448.935730
601,453.004089
602,453.950195
603,458.113159
604,463.032990
605,467.195923
606,493.498169
607,491.605927
608,477.792511
609,487.253784
610,491.984375
611,488.767548
612,493.308990
613,480.630890
614,481.766235
615,480.063232
616,479.684753
617,471.358887
618,478.360168
619,474.575714
620,476.846375
621,479.684753
622,478.738678
623,480.630890
624,471.169617
625,479.306305
626,480.441620
627,475.332550
628,477.792511
629,477.224854
630,469.182770
631,472.588837
632,476.089508
633,470.507355
634,470.696564
635,467.195923
636,464.830627
637,463.127563
638,459.153870
639,459.248474
640,443.448212
641,446.191986
642,440.988251
643,438.244537
644,440.042175
645,443.921295
646,435.595398
647,435.216919
648,436.163055
649,442.407471
650,431.905518
651,434.649292
652,426.607208
653,427.080292
654,421.971222
655,429.634827
656,430.297119
657,424.525787
658,422.160461
659,416.767487
660,411.279999
661,396.520447
662,398.601929
663,406.454803
664,405.603271
665,408.441620
666,410.144684
667,409.009277
668,408.536285
669,413.266846
670,408.725464
671,413.172272
672,417.240570
673,421.025116
674,426.891083
675,434.460052
676,439.001434
677,436.352295
678,441.272156
679,439.462860
680,442.700500
681,434.415955
682,430.511719
683,432.892365
684,423.655487
685,426.321838
686,428.511993
687,426.607513
688,439.843750
689,437.177460
690,435.939514
691,433.082764
692,436.320435
693,437.844025
694,431.749603
695,437.367859
696,437.177460
697,430.892609
698,422.227112
699,418.989502
700,428.131104
701,418.227722
702,419.846527
703,420.227417
704,420.894043
705,391.374298
706,390.422028
707,408.895691
708,413.276031
709,408.229095
710,414.323486
711,412.990326
712,416.323212
713,415.180481
714,411.657166
715,408.229095
716,420.703552
717,428.988129
718,449.461456
719,457.841248
720,468.220795
721,467.744659
722,454.984497
723,462.221588
724,468.982574
725,469.649170
726,470.696594
727,465.649719
728,461.650238
729,465.554504
730,465.744934
731,471.839325
732,468.220795
733,465.173553
734,471.267975
735,481.647461
736,443.843231
737,439.462860
738,426.036133
739,436.606110
740,430.321259
741,426.988403
742,430.130829
743,436.034760
744,439.558105
745,451.842102
746,445.938141
747,444.319305
748,438.986725
749,429.940369
750,433.273254
751,433.939850
752,430.702179
753,430.130829
754,391.945618
755,394.421448
756,396.325989
757,409.086090
758,407.657745
759,405.562775
760,413.942596
761,417.942017
762,412.609406
763,409.847900
764,404.515320
765,397.849548
766,400.135010
767,394.231018
768,409.562256
769,411.276245
770,405.753265
771,414.228271
772,412.609406
773,419.465668
774,420.227417
775,425.655243
776,425.845703
777,426.988403
778,440.700745
779,438.224945
780,454.508362
781,463.745209
782,468.982574
783,469.268250
784,476.695801
785,486.980042
786,498.216644
787,501.835175
788,490.789093
789,489.646362
790,487.360931
791,486.789642
792,464.602234
793,487.741882
794,498.978424
795,520.118347
796,508.691376
797,511.167175
798,519.356567
799,525.641418
800,528.307617
801,528.498169
802,541.258301
803,544.115051
804,536.116150
805,538.972900
806,531.354858
807,523.927307
808,525.641418
809,522.403687
810,531.354858
811,551.542542
812,544.686401
813,553.066101
814,547.543152
815,498.012695
816,541.351807
817,515.425720
818,491.627930
819,508.073547
820,481.760559
821,453.899689
822,435.712738
823,448.579041
824,477.020355
825,473.634430
826,471.699677
827,475.085541
828,456.124664
829,483.888794
830,484.662720
831,489.886627
832,489.499695
833,502.269226
834,495.303986
835,486.210571
836,488.145325
837,485.630096
838,496.464874
839,493.369232
840,493.562714
841,493.175720
842,484.856232
843,483.308380
844,481.373566
845,478.277893
846,492.595337
847,497.819183
848,485.049652
849,486.017029
850,491.821381
851,491.821381
852,497.819183
853,507.106201
854,498.593170
855,481.083344
856,466.669250
857,464.057312
858,529.743103
859,533.806091
860,547.543152
861,550.251770
862,546.575684
863,541.738770
864,529.162720
865,536.321411
866,552.767090
867,546.575684
868,562.440918
869,568.438782
870,572.501770
871,576.951782
872,571.340942
873,567.471313
874,582.369141
875,595.525635
876,597.460388
877,603.458313
878,606.553955
879,606.166992
880,609.262634
881,612.164795
882,606.166992
883,602.297424
884,592.817017
885,577.338745
886,562.827881
887,560.506165
888,580.047363
889,590.882202
890,573.856079
891,564.182251
892,584.303955
893,595.332153
894,572.114868
895,557.604004
896,570.180054
897,586.045166
898,600.362610
899,617.775696
900,598.427795
901,593.010498
902,603.264771
903,572.695251
904,559.345276
905,577.532227
906,560.506165
907,566.117065
908,560.893066
909,558.184387
910,526.260559
911,536.321411
912,547.543152
913,564.762634
914,565.730042
915,568.051819
916,554.121338
917,571.727844
918,560.506165
919,567.858276
920,548.317017
921,545.801819
922,549.671387
923,563.988770
924,578.112610
925,582.949524
926,588.173462
927,587.399597
928,592.236511
929,583.530090
930,583.724792
931,590.346985
932,581.971863
933,587.230652
934,577.492188
935,579.829468
936,567.558960
937,575.739258
938,577.102600
939,569.506592
940,576.518372
941,574.181091
942,578.466003
943,582.556213
944,568.143250
945,586.841125
946,584.309143
947,586.841125
948,561.715820
949,577.297424
950,598.137756
951,610.797791
952,596.190063
953,596.384827
954,593.268555
955,586.451599
956,587.035889
957,582.945740
958,582.361389
959,562.494873
960,560.805298
961,571.649048
962,551.393066
963,542.238892
964,551.977295
965,549.640137
966,572.622986
967,567.364136
968,558.599548
969,561.910645
970,554.898926
971,533.279419
972,524.514832
973,536.980103
974,527.436340
975,540.875549
976,543.797058
977,545.549988
978,544.381348
979,552.172119
980,546.913330
981,539.901672
982,512.244324
983,521.788025
984,506.011658
985,506.596039
986,514.386841
987,512.828613
988,519.450867
989,540.096375
990,543.407471
991,547.302856
992,548.666260
993,548.081970
994,550.808716
995,562.105408
996,561.715820
997,558.599548
998,569.506592
999,566.390259
1000,565.221741
1001,570.285706
1002,571.649048
1003,573.986328
1004,574.570679
1005,564.637329
1006,593.073730
1007,601.254150
1008,579.245117
1009,577.102600
1010,576.713074
1011,576.323547
1012,568.922363
1013,575.934082
1014,583.335266
1015,587.230652
1016,592.099915
1017,590.736450
1018,588.788818
1019,600.669800
1020,601.059326
1021,604.954712
1022,609.434387
1023,608.655334
1024,608.655334
1025,612.745483
1026,613.329834
1027,606.123352
1028,623.457825
1029,643.129578
1030,686.757996
1031,679.551453
1032,667.475830
1033,669.813049
1034,669.423523
1035,681.109680
1036,689.484802
1037,683.446899
1038,683.252075
1039,683.252075
1040,677.214294
1041,681.693970
1042,685.394592
1043,693.769714
1044,683.641663
1045,700.586609
1046,693.964417
1047,670.007813
1048,661.437988
1049,669.423523
1050,652.088989
1051,658.321594
1052,653.841919
1053,664.749023
1054,670.786865
1055,747.526123
1056,710.325134
1057,710.714661
1058,702.729065
1059,710.130371
1060,739.345825
1061,745.188904
1062,748.499939
1063,751.616333
1064,743.825500
1065,756.920288
1066,765.054993
1067,781.324280
1068,777.951416
1069,783.506775
1070,781.522705
1071,782.713135
1072,784.498779
1073,780.729065
1074,781.125916
1075,768.824707
1076,733.905151
1077,683.311523
1078,691.247803
1079,638.074890
1080,645.217529
1081,628.948181
1082,610.099609
1083,638.471680
1084,646.804810
1085,627.360962
1086,587.084473
1087,587.679688
1088,589.465332
1089,598.592041
1090,609.901184
1091,609.305969
1092,618.035828
1093,608.313965
1094,610.099609
1095,613.075684
1096,613.472534
1097,612.083679
1098,613.670898
1099,640.852600
1100,636.884460
1101,645.415894
1102,647.003174
1103,639.463745
1104,633.511536
1105,627.360962
1106,615.654968
1107,628.948181
1108,625.178528
1109,623.392822
1110,605.734619
1111,606.528320
1112,593.631897
1113,600.377686
1114,599.782471
1115,608.909180
1116,615.059753
1117,611.290039
1118,614.067749
1119,614.861328
1120,619.623108
1121,637.479675
1122,628.948181
1123,647.995239
1124,653.947449
1125,635.495605
1126,638.670105
1127,644.225525
1128,638.074890
1129,628.551392
1130,636.487610
1131,658.709167
1132,653.550598
1133,666.248596
1134,668.629456
1135,662.082092
1136,655.534668
1137,651.169739
1138,655.733093
1139,664.661377
1140,673.589661
1141,669.819946
1142,682.319519
1143,681.129089
1144,679.145020
1145,662.875732
1146,651.764954
1147,652.756958
1148,665.653381
1149,663.272461
1150,672.200745
1151,677.557739
1152,685.295593
1153,686.287659
1154,680.335449
1155,662.677307
1156,668.232666
1157,663.074158
1158,658.709167
1159,677.160950
1160,681.327454
1161,679.740234
1162,683.311523
1163,691.644653
1164,700.374512
1165,710.691650
1166,713.270935
1167,713.667725
1168,712.675720
1169,705.731506
1170,703.747437
1171,731.722656
1172,741.444641
1173,738.468567
1174,728.349792
1175,734.500427
1176,735.690796
1177,741.047791
1178,735.889221
1179,747.000000
1180,757.599976
1181,755.000000
1182,751.400024
1183,738.799988
1184,728.599976
1185,732.200012
1186,721.400024
1187,719.400024
1188,715.000000
1189,711.400024
