,0
0,798.691284
1,772.275452
2,738.867249
3,736.536377
4,721.930054
5,725.348389
6,733.894897
7,731.097839
8,727.368591
9,719.599121
10,719.288452
11,720.065308
12,720.842224
13,728.611633
14,726.747070
15,710.120544
16,733.117859
17,733.428650
18,741.974915
19,730.320923
20,754.406006
21,754.095215
22,765.283142
23,765.438416
24,766.370789
25,768.235352
26,757.513733
27,753.629028
28,753.629028
29,746.170471
30,763.884583
31,764.506104
32,752.075073
33,731.408630
34,747.413574
35,738.867249
36,729.233093
37,734.205627
38,739.644165
39,728.767029
40,736.225586
41,735.448730
42,742.130432
43,749.122803
44,732.340881
45,717.423767
46,733.894897
47,734.205627
48,739.644165
49,732.030151
50,737.468689
51,736.380981
52,720.531494
53,736.225586
54,743.062683
55,743.218018
56,753.473633
57,758.912109
58,731.253235
59,755.493652
60,773.829407
61,780.821838
62,784.706482
63,792.475891
64,783.541016
65,773.363159
66,776.471069
67,790.533569
68,791.310425
69,807.626099
70,825.495728
71,831.322754
72,827.438110
73,809.956909
74,799.079773
75,782.375610
76,771.032471
77,778.102539
78,782.375610
79,791.310425
80,798.691284
81,811.899292
82,824.718750
83,836.761169
84,833.349609
85,846.532898
86,841.339417
87,843.736450
88,837.344543
89,864.909790
90,872.100647
91,868.505371
92,892.475220
93,896.070496
94,889.678528
95,901.264099
96,899.666016
97,902.861877
98,904.459961
99,906.457458
100,896.070496
101,898.867004
102,898.867004
103,899.666016
104,893.673523
105,889.279236
106,876.095825
107,879.691101
108,866.907288
109,879.291687
110,886.882080
111,913.248718
112,901.264099
113,890.877075
114,894.871948
115,885.284119
116,857.718811
117,862.912354
118,865.708679
119,848.929871
120,854.522888
121,836.145996
122,821.764221
123,827.357178
124,832.550598
125,828.555664
126,834.548035
127,844.135986
128,846.532898
129,843.736450
130,842.538025
131,832.950012
132,838.942505
133,846.133484
134,848.929871
135,868.505371
136,877.693726
137,868.105835
138,868.904785
139,862.512756
140,866.507751
141,877.294250
142,878.892090
143,892.075500
144,907.656006
145,910.851929
146,907.656006
147,912.449890
148,910.452454
149,910.052856
150,900.864502
151,898.467590
152,900.864502
153,912.449890
154,894.472534
155,888.080566
156,877.294250
157,864.110901
158,867.306824
159,868.904785
160,839.342041
161,849.329468
162,847.731506
163,833.349609
164,786.208984
165,775.822144
166,749.774963
167,735.712646
168,744.341736
169,745.460327
170,759.203186
171,752.651245
172,742.743713
173,745.460327
174,730.439270
175,730.758850
176,751.053345
177,748.656311
178,751.532654
179,754.888428
180,750.573914
181,745.460327
182,749.774963
183,743.382996
184,745.086670
185,748.184448
186,750.630005
187,751.282166
188,753.890808
189,792.041809
190,789.922302
191,789.270203
192,794.650452
193,808.182800
194,813.400024
195,840.056763
196,817.231323
197,813.400024
198,798.400391
199,803.780701
200,791.063660
201,784.542053
202,778.835754
203,770.357788
204,773.944458
205,794.813477
206,798.400391
207,777.368347
208,745.412781
209,744.760559
210,748.021362
211,756.662476
212,752.912537
213,756.662476
214,758.292847
215,818.861633
216,810.139099
217,835.573242
218,813.888977
219,818.861633
220,818.861633
221,825.790833
222,851.877014
223,835.573242
224,843.725098
225,834.350342
226,839.241516
227,835.573242
228,842.909912
229,848.616211
230,846.578247
231,866.142944
232,868.996094
233,864.920166
