,0
0,1486.041016
1,1512.992920
2,1513.809692
3,1519.935303
4,1472.973389
5,1486.449219
6,1541.578857
7,1547.703979
8,1535.044922
9,1527.694336
10,1489.307739
11,1486.449219
12,1529.735840
13,1529.327637
14,1484.407471
15,1445.612915
16,1492.166626
17,1482.773926
18,1510.134399
19,1521.977051
20,1539.128418
21,1511.359619
22,1503.600830
23,1501.150513
24,1512.176392
25,1510.542969
26,1504.417603
27,1514.626465
28,1551.787720
29,1575.473022
30,1596.707764
31,1579.965088
32,1587.723877
33,1605.691895
34,1613.859253
35,1572.206055
36,1560.363281
37,1586.090576
38,1591.807495
39,1632.235718
40,1632.644165
41,1615.084229
42,1638.361206
43,1644.078247
44,1637.544556
45,1621.209839
46,1627.743774
47,1612.634277
48,1606.100342
49,1603.650146
50,1588.540527
51,1618.351196
52,1646.528442
53,1653.062378
54,1649.795410
55,1658.779297
56,1654.695923
57,1657.145874
58,1644.078247
59,1648.978516
60,1657.145874
61,1657.145874
62,1664.496460
63,1665.313232
64,1682.464600
65,1671.847168
66,1667.763550
67,1684.914917
68,1662.046509
69,1659.596191
70,1670.213745
71,1693.898804
72,1694.715820
73,1687.365112
74,1707.783203
75,1691.448853
76,1657.145874
77,1668.580200
78,1657.962646
79,1633.460815
80,1613.859253
81,1588.540527
82,1600.791504
83,1599.974976
84,1612.225708
85,1619.576416
86,1601.199951
87,1576.289673
88,1606.508789
89,1600.383179
90,1595.074463
91,1602.833618
92,1612.634277
93,1593.032593
94,1599.974976
95,1608.142334
96,1642.444824
97,1652.245483
98,1674.297485
99,1661.229736
100,1662.863159
101,1645.711670
102,1633.460815
103,1636.727783
104,1632.235718
105,1595.891235
106,1596.299683
107,1602.016724
108,1619.167969
109,1618.351196
110,1606.100342
111,1556.279785
112,1570.980957
113,1567.713989
114,1584.456909
115,1579.556519
116,1557.913208
117,1558.729980
118,1595.074463
119,1605.283569
120,1596.707764
121,1625.293579
122,1619.167969
123,1613.859253
124,1632.644165
125,1671.030640
126,1697.165649
127,1677.564331
128,1678.381226
129,1695.532227
130,1707.300293
131,1712.336792
132,1726.606201
133,1764.378174
134,1748.430176
135,1758.502686
136,1745.911987
137,1758.502686
138,1759.342041
139,1731.642456
140,1719.051636
141,1719.051636
142,1722.409180
143,1768.575317
144,1807.186523
145,1779.487061
146,1765.217773
147,1745.911987
148,1744.233276
149,1745.911987
150,1733.321289
151,1716.533569
152,1699.745972
153,1684.637207
154,1682.958252
155,1709.818481
156,1713.176147
157,1714.015503
158,1700.585449
159,1712.336792
160,1702.264160
161,1710.657959
162,1729.963501
163,1711.497559
164,1691.352051
165,1705.621582
166,1713.176147
167,1673.305420
168,1648.543701
169,1650.642456
170,1670.367676
171,1667.849731
172,1643.927002
173,1645.606079
174,1660.295044
175,1671.207031
176,1684.637207
177,1714.015503
178,1681.279541
179,1699.745972
180,1686.315796
181,1703.942993
182,1722.409180
183,1726.606201
184,1729.124268
185,1738.357666
186,1734.160522
187,1734.999878
188,1724.927368
189,1730.803223
190,1698.906616
191,1667.429810
192,1672.885742
193,1698.906616
194,1713.176147
195,1715.694214
196,1719.051636
197,1744.233276
198,1764.378174
199,1751.787720
200,1735.839355
201,1745.072388
202,1751.787720
203,1738.357666
204,1792.077881
205,1802.989746
206,1817.259155
207,1813.062378
208,1759.342041
209,1740.875732
210,1761.859985
211,1777.808228
212,1781.166016
213,1773.611572
214,1781.166016
215,1859.228394
216,1829.849854
217,1891.125000
218,1928.057373
219,1888.606689
220,1905.394165
221,1937.290771
222,1944.845093
223,1943.166260
224,1938.969727
225,1930.575684
226,1909.591309
227,1875.176514
228,1886.088501
229,1892.803711
230,1888.606689
231,1890.285522
232,1878.534180
233,1881.052368
234,1845.798218
235,1857.549683
236,1886.927856
237,1931.415039
238,1935.612061
239,1930.575684
240,1943.166260
241,1982.617432
242,1974.223511
243,1961.632690
244,1924.699829
245,1923.860596
246,1964.151001
247,1963.311523
248,1960.793579
249,1951.424927
250,1915.556274
251,1878.833862
252,1888.227661
253,1909.578125
254,1892.497925
255,1920.680542
256,1947.154785
257,1938.614624
258,1953.133057
259,1896.768066
260,2066.716797
261,2132.476318
262,2154.680664
263,2155.534424
264,2148.702393
265,2139.308594
266,2146.994385
267,2146.140137
268,2174.322754
269,2176.031250
270,2147.848145
271,2147.848145
272,2148.702393
273,2133.330078
274,2112.833984
275,2110.271484
276,2119.665771
277,2100.023682
278,2150.410156
279,2152.972412
280,2174.322754
281,2189.695068
282,2205.921631
283,2202.505615
284,2187.987061
285,2189.695068
286,2187.133057
287,2235.812256
288,2204.213379
289,2206.775146
290,2211.045410
291,2216.169434
292,2202.505615
293,2215.315430
294,2190.549072
295,2199.943359
296,2196.527344
297,2185.424805
298,2186.279053
299,2232.395996
300,2212.753418
301,2199.089355
302,2228.125732
303,2234.104004
304,2263.140869
305,2302.425049
306,2291.323242
307,2300.717041
308,2268.264648
309,2201.651123
310,2211.045410
311,2187.133057
312,2105.147461
313,2175.176514
314,2215.315430
315,2268.264648
316,2276.804688
317,2192.257324
318,2082.943359
319,2048.782715
320,2010.351929
321,1874.563599
322,1941.176636
323,1932.636719
324,2082.089355
325,2125.643799
326,2047.928955
327,1913.848389
328,1737.067017
329,1780.621704
330,1836.132813
331,1930.928467
332,1906.162354
333,1990.709717
334,1947.154785
335,1889.082031
336,1855.775146
337,1835.278931
338,1884.811890
339,1857.483154
340,1874.563599
341,1960.818970
342,1944.592773
343,1963.380981
344,2003.519653
345,1974.483154
346,1984.731323
347,1975.337524
348,2029.140381
349,2012.059814
350,2024.870361
351,2018.038086
352,2027.432373
353,2042.804443
354,2041.096436
355,2037.680420
356,2026.578369
357,2065.009033
358,2065.863037
359,2064.154785
360,2080.381348
361,2118.811523
362,2135.038086
363,2028.286377
364,2046.220459
365,2081.235107
366,2053.052734
367,2088.920898
368,2107.709717
369,2024.870361
370,1996.687744
371,1998.395874
372,2076.965088
373,2084.651611
374,2118.811523
375,2117.958008
376,2172.614746
377,2133.330078
378,2117.103760
379,2143.578125
380,2152.972412
381,2158.096191
382,2081.157471
383,2104.777100
384,2105.652344
385,2152.016602
386,2165.138916
387,2180.010254
388,2246.495850
389,2220.251709
390,2197.506592
391,2178.260498
392,2162.514648
393,2157.265869
394,2173.011963
395,2168.637939
396,2167.762939
397,2171.262695
398,2146.767578
399,2160.764893
400,2124.022705
401,2131.896240
402,2065.411377
403,2081.157471
404,2113.525635
405,2085.531250
406,2096.029541
407,2087.281494
408,2122.273438
409,2131.896240
410,2121.398682
411,2133.645752
412,2109.151611
413,2118.774170
414,2124.022705
415,2183.509766
416,2191.383301
417,2128.397217
418,2143.268799
419,2153.766357
420,2148.517334
421,2135.395264
422,2142.393799
423,2158.140137
424,2169.512695
425,2156.390625
426,2264.866211
427,2223.750732
428,2194.007080
429,2178.260498
430,2130.146729
431,2121.398682
432,2109.151611
433,2102.152588
434,2128.397217
435,2082.032715
436,2061.036865
437,2054.038818
438,2040.041992
439,2015.547241
440,2107.401611
441,2106.526855
442,2064.536377
443,2116.149658
444,2105.652344
445,2108.276611
446,2103.027588
447,2111.775879
448,2113.525635
449,2160.764893
450,2124.897949
451,2106.526855
452,2149.392334
453,2100.403076
454,2096.029541
455,2143.268799
456,2138.894531
457,2159.015137
458,2157.265869
459,2156.390625
460,2133.645752
461,2183.509766
462,2209.753418
463,2180.010254
464,2170.387695
465,2158.140137
466,2175.636475
467,2166.013428
468,2211.502930
469,2214.127930
470,2194.007080
471,2177.385742
472,2197.506592
473,2180.010254
474,2178.260498
475,2174.761719
476,2187.883789
477,2215.002686
478,2224.625244
479,2247.370361
480,2176.511475
481,2152.016602
482,2125.772705
483,2123.148193
484,2157.265869
485,2170.387695
486,2163.389160
487,2147.642822
488,2150.267090
489,2181.760254
490,2238.622070
491,2220.251709
492,2187.883789
493,2168.637939
494,2178.260498
495,2178.260498
496,2145.018311
497,2154.641357
498,2134.520752
499,2138.019775
500,2148.517334
501,2143.268799
502,2089.031006
503,2089.905518
504,2065.411377
505,2092.530029
506,2097.540527
507,2039.695435
508,2053.934082
509,2061.943604
510,2091.310791
511,2069.953125
512,2032.576294
513,2055.714111
514,2053.934082
515,2085.971436
516,2085.971436
517,2054.824219
518,2039.695435
519,2034.356201
520,2044.145264
521,2025.456909
522,2096.650391
523,2060.163818
524,2037.025879
525,2078.851807
526,2061.053467
527,2117.118164
528,2098.430176
529,2108.219482
530,2082.411865
531,2062.833496
532,2091.310791
533,2082.411865
534,2085.081299
535,2069.953125
536,2073.512207
537,2085.081299
538,2072.622559
539,2082.411865
540,2127.797607
541,2106.439453
542,2107.329346
543,2078.851807
544,2057.493896
545,2109.109131
546,2101.990234
547,2105.549561
548,2068.172607
549,2033.466064
550,2019.227539
551,2039.695435
552,2044.145264
553,2046.815186
554,2089.530762
555,2114.448730
556,2070.842773
557,2077.072266
558,2023.676758
559,2007.658447
560,1956.932983
561,1986.300537
562,1978.291016
563,1989.860107
564,1948.923950
565,1970.281738
566,1978.291016
567,1929.345459
568,1965.832153
569,1990.750000
570,1961.382568
571,1987.190308
572,1993.419800
573,1998.759277
574,1996.979370
575,1998.759277
576,2045.035034
577,1985.410522
578,1977.401001
579,1993.419800
580,1988.080200
581,2042.365112
582,2029.906372
583,2058.383789
584,2045.924927
585,2084.191406
586,2041.475342
587,2052.154541
588,2053.044434
589,2079.741943
590,2100.210205
591,2127.797607
592,2141.146484
593,2164.284180
594,2129.577393
595,2129.577393
596,2173.183594
597,2163.394287
598,2189.202148
