,0
0,170.551270
1,172.282715
2,167.737595
3,172.326019
4,170.075089
5,170.767700
6,170.681137
7,171.936401
8,167.001755
9,164.707504
10,168.127151
11,167.045013
12,166.135971
13,167.737595
14,164.491043
15,164.101471
16,166.309128
17,164.577667
18,165.832977
19,172.585724
20,170.897537
21,175.312790
22,180.161011
23,183.364212
24,187.346680
25,188.731873
26,188.731873
27,188.818405
28,190.809662
29,189.684174
30,194.359192
31,191.069366
32,190.809662
33,193.580032
34,192.887421
35,194.705490
36,191.329117
37,191.242493
38,193.233704
39,193.147171
40,192.194809
41,191.761963
42,195.398087
43,198.861069
44,197.216156
45,194.099472
46,194.792023
47,193.493408
48,189.770752
49,188.645279
50,194.099472
51,193.320282
52,196.177231
53,196.869812
54,195.744370
55,192.887421
56,193.406891
57,197.735596
58,198.341629
59,195.657776
60,198.514740
61,198.428146
62,200.765656
63,201.111969
64,202.843430
65,197.822174
66,196.956406
67,197.648972
68,198.601364
69,197.648972
70,198.601364
71,203.795807
72,205.094406
73,203.016617
74,201.891159
75,201.891159
76,201.544815
77,197.995316
78,197.562439
79,198.255020
80,200.938828
81,201.718002
82,201.718002
83,204.834686
84,204.488373
85,205.094406
86,206.046707
87,202.497177
88,209.769455
89,214.963913
90,213.925003
91,215.829559
92,216.175873
93,216.695358
94,216.522217
95,219.032837
96,217.820847
97,215.050430
98,216.435623
99,214.963913
100,216.262512
101,217.128189
102,214.877304
103,214.184738
104,213.838394
105,210.808319
106,208.297607
107,209.596222
108,205.873566
109,209.509720
110,210.981430
111,211.157532
112,210.805313
113,206.666718
114,208.603943
115,204.905594
116,202.351959
117,204.289185
118,209.748611
119,198.829758
120,200.326691
121,199.358109
122,198.213348
123,201.471451
124,200.678925
125,201.735611
126,201.999802
127,202.880325
128,200.326691
129,200.326691
130,202.087769
131,197.596954
132,199.886414
133,207.371140
134,206.930878
135,208.339783
136,208.427780
137,203.672775
138,200.943100
139,197.420868
140,200.062546
141,199.622269
142,203.760880
143,204.025055
144,205.874222
145,206.842804
146,208.956116
147,206.666718
148,205.698120
149,208.780045
150,212.478394
151,213.182800
152,211.509796
153,210.365051
154,210.012802
155,208.427780
156,209.836700
157,207.106979
158,202.440063
159,200.766937
160,199.798370
161,199.005844
162,199.622269
163,196.540283
164,196.628342
165,197.244766
166,194.338913
167,191.168930
168,189.231689
169,190.904739
170,193.458344
171,192.137527
172,190.904739
173,188.527237
174,188.703354
175,187.646667
176,190.288330
177,193.458344
178,189.936081
179,188.703354
180,187.998901
181,187.206421
182,188.175003
183,192.665878
184,192.665878
185,193.018082
186,197.420868
187,198.125275
188,200.326691
189,201.911697
190,204.729416
191,203.056458
192,203.760880
193,206.314453
194,207.723404
195,211.685898
196,209.132278
197,206.490601
198,207.371140
199,208.251724
200,212.654480
201,211.685898
202,210.981461
203,209.484482
204,212.126160
205,215.296127
206,212.214233
207,210.893372
208,211.333649
209,208.075623
210,208.868118
211,208.691956
212,202.351959
213,200.150604
214,202.600647
215,215.786682
216,213.024719
217,217.568527
218,216.766693
219,216.143097
220,217.390366
221,218.726791
222,217.746765
223,215.697540
224,214.895706
225,213.470215
226,213.648376
227,212.757416
228,209.995529
229,209.550034
230,211.955582
231,213.470215
232,212.401093
233,211.421005
234,215.697540
235,211.955582
236,211.777420
237,208.302750
238,206.699005
239,205.719009
240,208.302750
241,209.639160
242,209.460983
243,207.233612
244,204.738922
245,207.233612
246,208.124557
247,207.411743
248,208.926392
249,211.510147
250,204.382599
251,206.253571
252,201.620667
253,201.442459
254,202.244324
255,206.966293
256,216.588531
257,214.093842
258,213.559296
259,215.430252
260,223.894272
261,230.665375
262,225.676132
263,224.250580
264,224.607010
265,224.428879
266,225.408829
267,225.765274
268,228.081680
269,227.636261
270,227.368958
271,227.903564
272,227.279846
273,226.299820
274,226.745255
275,223.626999
276,225.676132
277,222.201447
278,221.488724
279,222.825165
280,220.597748
281,218.281326
282,221.488724
283,219.350479
284,217.924927
285,215.519394
286,216.499405
287,221.755997
288,218.548630
289,219.172241
290,219.261337
291,220.865067
292,219.974060
293,221.755997
294,223.003311
295,221.221466
296,226.656174
297,227.012573
298,228.794434
299,226.121597
300,228.616257
301,224.607010
302,227.903564
303,229.328995
304,228.527130
305,228.616257
306,227.101700
307,227.814377
308,222.112305
309,216.499405
310,215.073929
311,205.808044
312,203.580750
313,203.313446
314,209.460983
315,214.539368
316,214.628403
317,214.361115
318,214.272079
319,215.697540
320,206.788132
321,188.167374
322,196.096817
323,192.889374
324,201.264236
325,203.669800
326,201.442459
327,194.582184
328,189.058319
329,193.156677
330,197.344116
331,208.659119
332,207.233612
333,207.679031
334,203.848038
335,199.036926
336,194.938583
337,199.482391
338,197.433228
339,199.749634
340,198.591431
341,206.699005
342,209.460983
343,207.233612
344,210.084595
345,212.133804
346,209.639160
347,208.035431
348,213.915680
349,209.104584
350,210.351868
351,209.639160
352,210.440994
353,214.272079
354,209.460983
355,210.530106
356,208.302750
357,208.659119
358,208.926392
359,211.421005
360,212.133804
361,219.795929
362,221.132355
363,212.757416
364,213.826553
365,215.519394
366,211.599228
367,208.837311
368,208.104187
369,208.287537
370,205.538422
371,209.295456
372,214.518692
373,209.203827
374,212.502686
375,209.936981
376,210.486755
377,211.769638
378,208.654007
379,209.570374
380,204.713730
381,208.012589
382,208.654007
383,207.279465
384,203.522446
385,206.912979
386,208.012589
387,207.462784
388,208.379089
389,213.602310
390,211.403091
391,208.287537
392,207.462784
393,211.403091
394,212.686005
395,209.020599
396,204.622055
397,203.247543
398,202.972610
399,200.590134
400,199.948654
401,197.016312
402,193.900696
403,196.833023
404,197.016312
405,195.275253
406,196.466537
407,197.841064
408,196.649765
409,196.191620
410,198.665756
411,196.558105
