,0
0,84.690529
1,88.266266
2,85.689156
3,86.333427
4,83.305328
5,84.787178
6,87.879700
7,87.106583
8,85.238159
9,84.400597
10,85.753593
11,87.106583
12,86.816650
13,86.816650
14,86.881088
15,85.721382
16,88.201836
17,87.783066
18,88.169632
19,88.717270
20,90.456810
21,90.005821
22,90.456810
23,96.062057
24,95.933189
25,100.539795
26,101.151871
27,100.024376
28,105.661812
29,104.373253
30,107.723511
31,106.789307
32,106.563805
33,106.982605
34,107.208076
35,106.821526
36,105.436333
37,107.014801
38,108.045654
39,106.402733
40,108.077850
41,108.496651
42,108.528839
43,108.464424
44,105.822891
45,105.951752
46,108.045654
47,105.855095
48,107.240295
49,105.758446
50,105.758446
51,106.048393
52,107.014801
53,107.659081
54,107.755722
55,107.949005
56,106.531609
57,110.139557
58,114.037468
59,116.872276
60,115.841431
61,116.840057
62,118.869522
63,118.257492
64,115.905846
65,115.422630
66,114.681725
67,117.226639
68,117.162224
69,117.355492
70,118.386337
71,118.128632
72,119.191681
73,115.068306
74,113.779716
75,112.426735
76,113.038826
77,112.813324
78,115.197159
79,114.778366
80,113.038826
81,113.844154
82,115.487068
83,120.512436
84,121.630440
85,121.005676
86,121.334488
87,119.460220
88,120.150734
89,123.636253
90,123.537605
91,124.721336
92,125.444756
93,124.063690
94,124.984398
95,125.346107
96,126.431206
97,119.657532
98,120.052101
99,121.367371
100,119.295822
101,120.413811
102,119.427353
103,119.164291
104,118.605293
105,116.566635
106,117.388680
107,116.533745
108,115.382866
109,116.533745
110,116.073380
111,117.355804
112,116.796799
113,112.785202
114,115.645920
115,110.483452
116,109.036652
117,110.680733
118,110.187500
119,109.825783
120,110.943810
121,108.674934
122,107.820015
123,109.201065
124,111.239746
125,109.870728
126,110.537674
127,110.432404
128,110.818512
129,110.607887
130,111.064232
131,109.238892
132,109.940948
133,110.221764
134,110.046257
135,109.835632
136,110.291969
137,109.589928
138,109.449493
139,108.642151
140,109.133591
141,110.748314
142,111.906685
143,112.398117
144,113.872414
145,113.135262
146,111.380150
147,110.713188
148,110.923805
149,111.274834
150,113.029984
151,115.101013
152,114.469154
153,114.855278
154,114.820175
155,115.767952
156,115.838173
157,117.698586
158,117.277367
159,121.805588
160,121.173714
161,121.805588
162,122.402321
163,123.946854
164,113.591599
165,113.170372
166,109.133591
167,103.482071
168,102.850250
169,104.429863
170,104.464958
171,103.727798
172,103.762909
173,103.376785
174,101.375931
175,100.322861
176,100.814308
177,102.639648
178,101.726959
179,102.674728
180,103.587402
181,103.271484
182,104.184128
183,100.463287
184,100.849388
185,102.464119
186,103.411880
187,102.780037
188,103.973526
189,106.536003
190,105.623329
191,105.026604
192,107.764587
193,110.643013
194,110.256874
195,115.346718
196,114.398972
197,114.820175
198,112.714043
199,112.819359
200,116.224289
201,114.504250
202,112.538528
203,112.327911
204,112.714043
205,114.012825
206,113.380981
207,113.767113
208,109.273979
209,108.439011
210,107.683228
211,107.791206
212,105.019920
213,103.688286
214,106.351563
215,117.868507
216,117.004738
217,120.027924
218,118.048447
219,119.200165
220,119.128166
221,121.755455
222,122.259323
223,120.567787
224,119.596024
225,120.279869
226,122.007393
227,120.351837
228,119.811966
229,119.128166
230,120.927681
231,120.999680
232,122.403290
233,120.855698
234,121.791451
235,120.783730
236,121.827423
237,122.331314
238,119.739998
239,121.935394
240,123.518990
241,125.534447
242,125.210526
243,124.094818
244,122.223343
245,125.642410
246,126.614166
247,127.981789
248,127.873817
249,128.017807
250,125.426476
251,124.202820
252,124.166817
253,125.966324
254,125.246536
255,127.657883
256,127.981789
257,126.794106
258,125.750397
259,125.318504
260,143.709595
261,144.825287
262,141.010315
263,139.282776
264,137.915161
265,138.634933
266,137.843170
267,138.634933
268,139.966583
269,139.642670
270,139.210785
271,141.802078
272,140.254532
273,139.210785
274,139.930603
275,139.174805
276,141.154282
277,142.269958
278,145.401123
279,151.087601
280,150.727722
281,151.231598
282,152.887146
283,154.326736
284,154.254761
285,155.766357
286,157.565857
287,160.517090
288,156.198273
289,156.990051
290,154.542709
291,154.758636
292,154.830627
293,157.709839
294,160.445129
295,160.157181
296,156.702118
297,156.630157
298,156.774109
299,158.861526
300,163.252365
301,164.260101
302,166.851395
303,166.923386
304,166.779419
305,170.018555
306,165.627731
307,167.283279
308,161.452881
309,157.637878
310,152.887146
311,147.776520
312,145.545090
313,146.048965
314,149.576035
315,151.951385
316,148.208389
317,143.637619
318,133.992203
319,133.812225
320,129.565353
321,112.757851
322,106.927422
323,93.862907
324,86.736816
325,83.929573
326,79.286804
327,84.109520
328,82.094055
329,83.713631
330,89.472084
331,94.798668
332,86.268944
333,84.433441
334,84.577400
335,79.178841
336,81.490082
337,75.674690
338,87.230927
339,94.835663
340,98.488930
341,105.795441
342,94.835663
343,93.381821
344,95.394844
345,101.657585
346,96.885971
347,95.730347
348,100.725624
349,110.194275
350,112.990150
351,110.865280
352,115.860573
353,115.823288
354,109.635101
355,111.387184
356,113.176529
357,112.356415
358,111.573578
359,113.251099
360,112.319138
361,108.740433
362,105.795441
363,102.291313
364,104.677101
365,107.920319
366,108.330383
367,103.111427
368,102.925034
369,105.049881
370,113.623871
371,111.163513
372,115.375931
373,107.062912
374,112.803764
375,113.661156
376,118.693695
377,127.134628
378,129.256897
379,133.301193
380,127.334869
381,125.172577
382,119.086105
383,121.328484
384,116.763664
385,121.248413
386,121.568748
387,114.321075
388,119.286324
389,120.447563
390,118.565567
391,113.960701
392,114.561325
393,114.160912
394,113.680397
395,114.200958
396,110.917458
397,114.721504
398,109.716194
399,115.282082
400,115.322136
401,113.279961
402,114.841629
403,116.122971
404,115.081886
405,111.117676
406,114.841629
407,113.840553
408,113.480179
409,112.198814
410,110.517036
411,110.156654
412,107.513870
413,104.110260
414,104.110260
415,106.472755
416,97.863647
417,97.543304
418,94.780380
419,95.100716
420,95.541183
421,99.064919
422,94.780380
423,95.701363
424,94.580170
425,93.899452
426,96.582283
427,95.701363
428,96.301987
429,97.182922
430,97.383133
431,98.063850
432,96.061737
433,96.622330
434,97.343102
435,94.339912
436,95.821487
437,96.181862
438,98.103905
439,94.219780
440,100.946915
441,96.782509
442,91.977409
443,93.819366
444,91.937363
445,90.375710
446,91.376770
447,89.014267
448,88.613846
449,91.056435
450,90.736099
451,88.173386
452,84.329308
453,80.036766
454,79.428131
455,80.685448
456,80.925720
457,81.045837
458,84.329308
459,84.289268
460,86.851974
461,87.332497
462,87.532700
463,88.733978
464,91.296692
465,93.138641
466,97.102837
467,96.261955
468,97.383133
469,94.059616
470,95.741394
471,94.940552
472,93.418945
473,93.939491
474,92.217667
475,92.377831
476,92.057487
477,95.621269
478,92.538010
479,88.613846
480,84.689697
481,84.929947
482,84.729744
483,86.972115
484,92.938431
485,95.701363
486,98.103905
487,98.744568
488,117.124046
489,116.563454
490,119.006050
491,116.483360
492,119.126167
493,120.367470
494,127.334869
495,132.940781
496,134.142075
497,133.741638
498,134.302216
499,131.819611
500,128.536118
501,126.934418
502,125.893341
503,123.290581
504,132.980820
505,129.857513
506,133.701614
507,129.016663
508,126.413879
509,126.013458
510,128.175735
511,122.770035
512,120.567680
513,125.532936
514,128.656250
515,131.659439
516,130.578293
517,129.336975
518,126.574059
519,128.736359
520,133.621521
521,133.741638
522,132.860687
523,132.700516
524,132.780624
525,126.373833
526,129.136765
527,131.819611
528,132.099899
529,135.703720
530,133.821747
531,130.418121
532,128.936569
533,132.139938
534,131.018753
535,130.898636
536,129.977646
537,132.340149
538,129.897568
539,127.414948
540,125.052437
541,123.771088
542,121.408592
543,120.767906
544,117.284203
545,121.728912
546,123.771088
547,124.772141
548,126.854347
549,129.417068
550,129.537186
551,132.860687
552,127.294823
553,127.935486
554,129.056671
555,134.942932
556,132.620453
557,128.576157
558,129.336975
559,130.057724
560,130.097763
561,131.299042
562,133.421310
563,130.818558
564,126.213684
565,133.381256
566,132.860687
567,140.829147
568,138.146286
569,136.864975
570,143.071503
571,143.391861
572,145.674286
573,145.474075
574,145.554153
575,145.594208
576,147.916641
577,145.994614
578,147.996750
579,144.152664
580,144.513062
581,147.235931
582,142.671112
583,144.593124
584,144.232773
585,143.912415
586,146.595261
587,144.513062
588,149.791626
589,149.873596
590,152.619415
591,152.906296
592,155.775085
