,0
0,3609.310791
1,3563.511475
2,3505.527588
3,3581.158691
4,3571.075195
5,3624.437500
6,3629.479248
7,3645.026367
8,3630.319580
9,3554.687988
10,3537.881348
11,3542.083008
12,3532.839600
13,3531.578613
14,3499.645020
15,3428.635742
16,3466.450928
17,3452.585205
18,3481.577637
19,3463.510498
20,3489.140869
21,3449.644043
22,3445.022705
23,3442.081055
24,3438.719482
25,3445.442871
26,3385.357910
27,3427.375244
28,3360.566162
29,3379.895020
30,3410.147705
31,3407.206543
32,3379.475342
33,3388.298340
34,3366.029297
35,3340.818359
36,3311.826660
37,3384.097168
38,3416.450195
39,3348.381836
40,3416.030273
41,3448.383789
42,3550.906738
43,3504.267334
44,3506.788086
45,3509.729492
46,3534.100098
47,3576.958008
48,3580.319092
49,3600.317627
50,3599.046875
51,3605.822998
52,3565.165527
53,3588.036133
54,3604.552490
55,3549.072021
56,3520.696533
57,3487.237793
58,3377.970947
59,3394.911865
60,3373.735596
61,3387.711426
62,3449.545166
63,3427.099121
64,3490.626953
65,3524.507324
66,3483.426270
67,3505.449463
68,3505.873291
69,3551.612305
70,3602.858643
71,3613.446777
72,3606.246094
73,3635.469482
74,3726.525879
75,3667.232666
76,3667.232666
77,3685.020752
78,3682.479492
79,3727.372070
80,3722.713867
81,3688.833008
82,3721.020020
83,3713.819336
84,3726.525879
85,3728.643066
86,3737.960449
87,3742.619141
88,3721.866211
89,3721.020020
90,3696.455811
91,3681.209229
92,3703.232178
93,3708.313965
94,3814.616943
95,3834.946289
96,3839.604492
97,3856.545654
98,3885.343750
99,3904.826416
100,3945.059814
101,3921.767334
102,3917.464844
103,3928.988281
104,3920.451660
105,3951.179688
106,3935.815918
107,3934.536133
108,3968.678467
109,3960.996826
110,4003.248291
111,4075.802002
112,4094.153564
113,4086.471436
114,4055.316895
115,4145.794922
116,4130.430664
117,4168.414063
118,4147.927734
119,4131.284668
120,4171.401855
121,4128.722656
122,4144.087891
123,4109.517578
124,4146.648438
125,4165.426270
126,4194.448242
127,4181.644531
128,4197.862793
129,4244.383301
130,4222.616699
131,4245.236328
132,4239.688477
133,4253.771973
134,4205.544922
135,4193.593750
136,4189.753418
137,4226.457520
138,4213.226563
139,4175.242676
140,4150.489746
141,4177.803711
142,4189.753418
143,4281.513184
144,4338.702148
145,4320.777344
146,4306.265625
147,4319.923340
148,4300.291016
149,4286.634277
150,4266.574707
151,4270.416016
152,4289.194336
153,4345.531250
154,4335.287109
155,4323.337891
156,4277.244629
157,4293.462402
158,4303.705566
159,4266.148438
160,4179.083984
161,4181.644531
162,4278.952148
163,4301.144531
164,4229.871582
165,4273.830078
166,4216.214844
167,4155.184082
168,4119.334473
169,4150.916992
170,4186.024902
171,4192.476074
172,4238.059570
173,4220.428223
174,4272.033203
175,4280.204590
176,4309.876953
177,4378.684082
178,4360.621094
179,4401.045410
180,4321.917969
181,4309.017090
182,4382.123047
183,4417.386719
184,4429.427734
185,4468.992676
186,4533.498535
187,4579.082031
188,4564.460938
189,4454.372070
190,4463.832520
191,4354.600586
192,4260.422852
193,4268.162598
194,4302.996582
195,4223.438477
196,4170.973633
197,4246.661133
198,4239.350586
199,4231.609863
200,4124.097656
201,4186.454590
202,4218.277832
203,4181.294434
204,4216.987793
205,4229.458496
206,4205.806152
207,4207.526367
208,4115.927246
209,4114.639160
210,4129.689941
211,4165.384277
212,4159.791992
213,4162.802734
214,4110.767090
215,3996.806396
216,3995.086426
217,3929.290527
218,3963.693848
219,4001.536865
220,3978.745117
221,3920.258789
222,3943.911133
223,3926.709717
224,3983.475830
225,3983.475830
226,3919.829102
227,3952.512451
228,4001.107178
229,4006.532227
230,3997.431885
231,3982.698242
232,3991.798340
233,4064.604736
234,4034.269287
235,4052.037109
236,3998.299072
237,3984.430176
238,4009.132568
239,3989.631836
240,3959.295166
241,3958.428467
242,3950.194580
243,3923.325684
244,3896.022949
245,3914.657227
246,3916.390869
247,3952.794922
248,3954.528320
249,3962.329346
250,3967.962646
251,3936.759521
252,3921.592041
253,3918.125244
254,3878.688477
255,3944.560791
256,3938.927246
257,3942.392090
258,3921.592041
259,3925.926025
260,3939.359863
261,4013.466553
262,3726.140625
263,3708.372314
264,3758.210449
265,3785.079590
266,3838.817871
267,3804.580566
268,3827.549561
269,3790.280029
270,3770.778076
271,3767.743896
272,3776.412354
273,3748.243408
274,3716.173340
275,3675.002441
276,3710.539307
277,3730.907959
278,3764.278320
279,3743.908936
280,3772.078125
281,3773.811768
282,3813.682129
283,3814.114746
284,3824.949707
285,3802.414551
286,3786.379639
287,3877.821045
288,3838.384766
289,3900.789795
290,3846.617676
291,3924.191650
292,3929.392090
293,3969.696289
294,3981.397461
295,4018.233398
296,4069.805176
297,4070.238281
298,4061.137939
299,4063.303955
300,4040.335938
301,3997.431885
302,3991.798340
303,4013.033203
304,4015.635498
305,4008.699951
306,4013.694580
307,4011.074463
308,3915.011230
309,3835.978760
310,3830.738525
311,3773.537109
312,3641.668457
313,3772.663818
314,3827.245117
315,3894.489258
316,3914.138916
317,3800.609619
318,3639.485352
319,3561.325195
320,3557.395020
321,3363.521973
322,3366.141602
323,3253.922852
324,3573.987549
325,3583.157227
326,3791.002930
327,3614.159912
328,3434.258789
329,3491.024658
330,3473.557617
331,3513.730469
332,3433.386230
333,3507.179932
334,3559.141602
335,3487.967529
336,3530.759033
337,3525.519043
338,3611.976563
339,3635.554932
340,3572.677979
341,3601.496338
342,3665.247559
343,3611.976563
344,3606.736816
345,3593.636719
346,3757.817627
347,3667.867188
348,3705.419189
349,3639.048584
350,3573.551025
351,3582.283691
352,3555.211426
353,3584.031006
354,3582.283691
355,3579.664063
356,3540.365479
357,3517.659912
358,3508.926758
359,3565.691162
360,3644.288330
361,3693.193115
362,3680.093994
363,3619.437988
364,3638.816406
365,3726.021729
366,3628.246582
367,3670.527588
368,3632.650635
369,3624.722900
370,3630.888428
371,3699.595459
372,3814.106934
373,3815.869141
374,3801.774902
375,3794.728027
376,3874.885986
377,3875.766846
378,3883.694824
379,3870.481201
380,3817.630859
381,3856.388184
382,3819.391846
383,3791.204834
384,3778.872803
385,3891.621826
386,3965.614014
387,3970.018066
388,4080.126465
389,3999.086670
390,4000.849121
391,3946.235596
392,3932.142090
393,3980.588623
394,3913.644043
395,3836.128906
396,3821.153320
397,3894.265625
398,3803.536621
399,3833.486328
400,3754.208740
401,3742.757324
402,3712.808838
403,3693.429688
404,3772.707275
405,3792.966797
406,3829.962891
407,3797.370850
408,3854.626709
409,3822.035156
410,3832.605225
411,3814.106934
412,4114.479492
413,4120.645020
414,4140.024414
415,4130.334961
416,4191.113770
417,4098.624023
418,4028.155273
419,4108.313477
420,4110.956055
421,4107.432129
422,4063.907471
423,4030.166504
424,4013.296875
425,3982.220947
426,4074.562256
427,4069.234131
428,4031.943359
429,4039.933838
430,4003.531006
431,4049.701416
432,4031.943359
433,4003.531006
434,4067.458252
435,4038.157959
436,4036.383545
437,4053.253662
438,3960.023926
439,3929.835205
440,4024.840820
441,4010.633545
442,3929.835205
443,4011.521729
444,4055.915771
445,4211.298340
446,4247.702148
447,4290.321289
448,4264.572266
449,4308.078613
450,4264.572266
451,4279.667480
452,4208.635742
453,4137.603516
454,4204.194824
455,4243.262695
456,4197.979492
457,4229.056641
458,4271.676270
459,4266.348633
460,4240.599609
461,4266.348633
462,4299.200195
463,4297.425293
464,4256.580566
465,4261.908691
466,4273.451660
467,4303.640137
468,4307.191895
469,4327.613281
470,4343.594727
471,4284.106445
472,4320.509277
473,4263.684082
474,4293.872559
475,4175.782715
476,4191.764160
477,4167.791016
478,4125.171875
479,4163.352539
480,4031.943359
481,3995.647949
482,3942.826416
483,4009.973389
484,4076.224121
485,4174.704590
486,4179.181152
487,4197.982422
488,4223.945801
489,4190.820801
490,4282.139160
491,4294.672852
492,4251.699219
493,4155.904297
494,4086.968018
495,4048.469482
496,3995.647949
497,3989.380859
498,3909.701660
499,3885.528320
500,4082.490723
501,4102.186523
502,4105.769043
503,4092.339600
504,3969.684814
505,3938.350342
506,3834.497803
507,3872.994385
508,3881.052002
509,3898.062500
510,3896.272217
511,3934.769531
512,3957.151855
513,3906.120117
514,3851.507568
515,3922.235840
516,3876.575684
517,3892.691406
518,3843.450684
519,3887.319336
520,3859.565430
521,3858.670166
522,3993.857422
523,4011.762939
524,3932.083496
525,3993.857422
526,3971.476074
527,3999.229248
528,3981.324219
529,3984.009277
530,3953.569580
531,3868.518066
532,3896.272217
533,3898.062500
534,3933.873047
535,3905.225098
536,3922.235840
537,3897.166992
538,3897.166992
539,3919.549316
540,3997.437988
541,3959.836914
542,3918.654785
543,3870.308594
544,3795.999756
545,3827.334717
546,3847.031494
547,3881.947266
548,3641.116211
549,3563.226563
550,3540.844482
551,3536.368408
552,3525.625244
553,3494.289795
554,3546.216553
555,3565.912354
556,3586.503662
557,3563.226563
558,3553.378662
559,3496.080078
560,3428.038818
561,3509.509766
562,3436.991211
563,3454.713135
564,3375.148682
565,3412.218750
566,3446.576172
567,3446.576172
568,3484.549561
569,3518.002441
570,3517.099121
571,3541.510010
572,3562.304932
573,3540.605957
574,3571.346924
575,3592.141846
