,0
0,718.928101
1,725.912231
2,725.039185
3,727.221741
4,721.547241
5,730.277405
6,740.317017
7,726.785278
8,715.872620
9,714.999634
10,724.602661
11,720.674255
12,723.729675
13,718.055115
14,717.182068
15,696.229736
16,702.340881
17,703.650269
18,703.650269
19,703.650269
20,709.761597
21,720.674255
22,739.007507
23,735.515381
24,735.951965
25,745.555115
26,743.809082
27,748.174133
28,746.428162
29,753.848694
30,761.269409
31,770.872559
32,773.055054
33,774.364563
34,778.293274
35,784.404297
36,792.261475
37,801.428040
38,808.412231
39,794.880432
40,790.078979
41,793.134460
42,782.658203
43,791.388428
44,793.570923
45,781.348755
46,783.531311
47,762.578857
48,769.126587
49,768.690125
50,763.888428
51,777.856689
52,783.094727
53,784.404297
54,792.261475
55,790.951843
56,791.824951
57,807.975708
58,791.388428
59,799.245605
60,799.682007
61,791.824951
62,798.808960
63,790.951843
64,787.023376
65,787.896362
66,785.713806
67,782.658203
68,782.658203
69,799.682007
70,806.229675
71,802.301086
72,804.920166
73,801.864624
74,805.356628
75,792.261475
76,791.824951
77,793.570923
78,792.697998
79,787.896362
80,800.991516
81,800.991516
82,814.086853
83,828.491638
84,821.943909
85,814.959839
86,816.269409
87,812.777283
88,826.745605
89,828.528259
90,827.191162
91,825.408447
92,832.539429
93,823.625732
94,823.625732
95,828.973938
96,844.572937
97,839.670349
98,840.561707
99,842.344360
100,839.670349
101,841.007324
102,848.584106
103,844.572937
104,841.453125
105,839.224670
106,840.561707
107,849.475464
108,856.160706
109,852.595276
110,856.160706
111,863.737366
112,862.846008
113,862.400269
114,867.748535
115,842.344360
116,838.333252
117,849.029724
118,838.779053
119,838.333252
120,842.344360
121,846.355774
122,839.224670
123,831.202393
124,845.909973
125,850.366821
126,850.812561
127,850.366821
128,849.029724
129,844.127258
130,848.138428
131,846.801392
132,856.160706
133,861.508911
134,853.040894
135,861.954590
136,861.954590
137,870.422668
138,874.879517
139,866.411438
140,849.029724
141,868.640015
142,877.999329
143,889.141296
144,907.414551
145,904.740356
146,897.609497
147,891.369812
148,900.283630
149,905.631714
150,913.654114
151,913.654114
152,913.654114
153,919.893677
154,928.807373
155,939.503845
156,932.372742
157,930.590088
158,959.113953
159,943.960693
160,938.612427
161,935.938293
162,940.395203
163,935.046875
164,919.893677
165,919.893677
166,904.740356
167,902.066284
168,902.066284
169,902.957642
170,909.197205
171,919.893677
172,915.436829
173,919.002319
174,919.002319
175,919.002319
176,930.590088
177,929.698853
178,922.567810
179,933.264160
180,926.133301
181,935.046875
182,943.069397
183,935.938293
184,932.372742
185,933.264160
186,944.852112
187,935.938293
188,935.938293
189,927.024719
190,927.024719
191,915.436829
192,910.088623
193,925.241882
194,927.024719
195,937.721069
196,926.133301
197,941.286560
198,945.743469
199,956.769287
200,954.969116
201,959.469421
202,964.869751
203,968.470032
204,987.371460
205,977.470825
206,982.870972
207,979.270996
208,962.169617
209,963.969666
210,974.770508
211,973.870544
212,972.070313
213,978.370789
214,989.171509
215,1043.175415
216,1028.774414
217,1056.676392
218,1036.875000
219,1038.675293
220,1035.074829
221,1029.674561
222,1031.474609
223,1016.173523
224,1006.272766
225,999.972351
226,1008.973022
227,1017.073669
228,1018.873657
229,1012.573303
230,1005.372681
231,1015.273438
232,1014.373413
233,1014.373413
234,1009.873047
235,1016.173523
236,1019.773926
237,1034.174927
238,1039.575317
239,1048.575806
240,1058.476563
241,1080.078125
242,1075.578003
243,1068.377319
244,1071.977539
245,1078.277954
246,1085.478516
247,1098.079590
248,1111.580444
249,1122.381226
250,1125.981323
251,1110.680298
252,1098.979370
253,1074.677612
254,1067.477051
255,1110.680298
256,1113.380615
257,1109.780396
258,1076.477905
259,1057.576660
260,1080.078125
261,1104.379761
262,1094.479004
263,1096.279419
264,1098.079590
265,1101.679810
266,1114.280640
267,1120.581177
268,1134.982056
269,1126.881226
270,1134.082153
271,1131.381836
272,1134.082153
273,1116.980713
274,1116.980713
275,1120.581177
276,1119.681152
277,1124.181396
278,1125.081543
279,1133.182007
280,1143.982788
281,1129.581787
282,1149.383301
283,1146.682861
284,1152.083496
285,1171.884766
286,1159.283936
287,1174.584961
288,1142.182739
289,1140.382446
290,1152.083496
291,1155.683716
292,1144.882813
293,1143.982788
294,1152.083496
295,1151.183228
296,1155.683716
297,1156.583740
298,1170.084595
299,1179.085327
300,1184.485840
301,1179.985474
302,1204.287231
303,1202.487061
304,1197.086670
305,1201.587036
306,1192.586304
307,1205.187256
308,1166.484375
309,1143.982788
310,1142.182739
311,1080.078125
312,1019.773926
313,997.272217
314,1039.575317
315,1044.075684
316,1036.875000
317,1001.772644
318,971.170288
319,957.669373
320,952.268921
321,855.061890
322,846.061157
323,744.803894
324,692.150024
325,582.342102
326,571.091370
327,659.747803
328,651.647156
329,705.201050
330,719.152039
331,724.552368
332,721.402222
333,702.050842
334,721.402222
335,687.649719
336,685.399414
337,666.048157
338,685.399414
339,730.852905
340,750.204285
341,808.930359
342,753.860168
343,718.689270
344,718.226624
345,746.455811
346,735.812012
347,713.598755
348,743.679138
349,736.737610
350,723.779846
351,741.828125
352,758.025208
353,815.409302
354,810.318787
355,768.206238
356,743.216431
357,762.652954
358,739.976990
359,758.950684
360,730.258667
361,702.492249
362,690.460083
363,648.347595
364,644.645325
365,696.476135
366,722.854309
367,673.337402
368,669.635193
369,666.858582
370,708.508240
371,762.652954
372,799.674866
373,803.839844
374,816.797607
375,834.845825
376,863.075073
377,879.272278
378,898.245911
379,904.262024
380,869.091187
381,851.042847
382,815.872009
383,847.803528
384,856.596252
385,878.809448
386,882.048828
387,871.867798
388,865.388916
389,859.835632
390,864.463318
391,830.680847
392,845.026855
393,863.537842
394,855.207886
395,870.016663
396,849.191772
397,851.505676
398,846.415161
399,864.926147
400,855.207886
401,856.133423
402,837.622437
403,869.091187
404,866.777283
405,859.835632
406,861.686707
407,856.133423
408,877.421082
409,864.463318
410,879.272278
411,878.809448
412,875.570068
413,860.298401
414,845.026855
415,870.479431
416,885.750977
417,870.479431
418,869.091187
419,863.075073
420,877.883911
421,890.378845
422,879.272278
423,877.883911
424,867.239990
425,887.602173
426,883.899902
427,877.883911
428,870.016663
429,875.570068
430,871.867798
431,863.537842
432,888.990417
433,895.469299
434,893.618164
435,882.048828
436,899.634277
437,898.245911
438,895.469299
439,880.197693
440,895.006470
441,881.586060
442,877.421082
443,885.750977
444,902.410889
445,897.320374
446,889.916016
447,885.288269
448,888.064941
449,876.958313
450,864.000610
451,871.404968
452,858.910095
453,800.600403
454,784.866089
455,779.312805
456,770.520142
457,779.312805
458,800.600403
459,770.520142
460,776.536194
461,802.914307
462,804.765442
463,814.020935
464,836.696899
465,814.946472
466,798.749329
467,807.542114
468,826.053101
469,808.004883
470,798.286499
471,797.361023
472,781.163879
473,794.121643
474,818.185913
475,812.169800
476,818.648621
477,820.036987
