,0
0,596.021973
1,601.592163
2,598.886658
3,607.003357
4,588.223572
5,596.021973
6,610.027283
7,612.573669
8,601.751282
9,601.592163
10,591.724792
11,596.499329
12,616.084412
13,623.542236
14,592.900208
15,582.361938
16,599.385193
17,596.791199
18,605.546082
19,608.302246
20,616.895020
21,610.247803
22,612.841736
23,613.652527
24,622.731567
25,620.137512
26,620.948181
27,628.568176
28,643.483826
29,654.994873
30,673.477539
31,660.183044
32,658.075378
33,661.479980
34,666.181824
35,649.158325
36,647.374939
37,660.993774
38,664.560547
39,673.477539
40,677.854919
41,672.018372
42,675.098755
43,672.504700
44,673.153137
45,665.208984
46,667.478821
47,659.858765
48,661.155762
49,664.398315
50,662.290771
51,673.153137
52,685.961365
53,690.987183
54,689.041748
55,691.311523
56,689.690125
57,689.041748
58,680.286865
59,681.097473
60,683.691467
61,684.988464
62,692.446472
63,691.149414
64,699.417786
65,696.337402
66,691.960022
67,698.283020
68,687.420410
69,691.473694
70,696.823792
71,704.930237
72,708.172791
73,706.713501
74,707.037842
75,700.066345
76,678.827759
77,680.124695
78,681.746033
79,668.127197
80,660.183044
81,659.048157
82,659.858765
83,660.831604
84,666.505981
85,668.937988
86,663.911926
87,661.642151
88,671.856140
89,667.803040
90,665.208984
91,668.289429
92,667.965149
93,661.966309
94,665.046753
95,666.181824
96,678.827759
97,686.609802
98,686.609802
99,679.638367
100,671.856140
101,662.290771
102,660.831604
103,661.479980
104,656.616211
105,640.241333
106,642.997620
107,646.240173
108,651.428162
109,651.752441
110,650.131104
111,629.865112
112,631.648560
113,624.028564
114,635.053284
115,634.566895
116,620.948181
117,631.000122
118,644.943054
119,646.077942
120,635.539612
121,646.402283
122,645.915771
123,638.133667
124,654.346436
125,672.504700
126,676.720032
127,667.154480
128,661.479980
129,661.479980
130,667.803040
131,668.127197
132,667.803040
133,671.856140
134,664.722534
135,663.984375
136,671.869141
137,676.230835
138,676.230835
139,666.668579
140,662.306824
141,656.603088
142,654.590027
143,665.326538
144,682.102295
145,672.875610
146,669.184998
147,663.984375
148,666.165344
149,665.997620
150,658.951721
151,652.409241
152,644.860046
153,640.162903
154,641.504944
155,641.169495
156,652.576965
157,665.158875
158,657.945251
159,662.306824
160,658.448486
161,663.984375
162,675.224182
163,666.668579
164,661.468079
165,670.694763
166,667.171814
167,651.570374
168,637.478821
169,636.640015
170,642.511475
171,638.317566
172,637.311096
173,641.840454
174,649.389648
175,661.971436
176,655.596558
177,668.849487
178,650.563843
179,652.409241
180,653.583496
181,660.293823
182,666.836304
183,676.062988
184,677.405029
185,682.773376
186,684.450806
187,685.457458
188,679.585815
189,677.572876
190,657.777527
191,644.356812
192,642.679199
193,653.919006
194,658.112915
195,658.280640
196,658.448486
197,667.171814
198,673.882141
199,671.198120
200,664.320007
201,661.971436
202,663.313477
203,663.313477
204,682.270020
205,685.457458
206,692.671021
207,696.529358
208,671.701355
209,667.004089
210,674.385498
211,674.888733
212,671.365784
213,664.320007
214,663.648926
215,707.769165
216,689.651428
217,725.887024
218,746.521179
219,731.926270
220,736.287964
221,744.004822
222,747.695496
223,744.004822
224,740.817444
225,728.067932
226,731.590759
227,718.170227
228,722.196350
229,729.913147
230,728.403381
231,725.048218
232,709.278992
233,712.969727
234,698.542542
235,695.690674
236,707.769165
237,723.035095
238,725.215942
239,725.215942
240,733.100586
241,743.501587
242,735.784729
243,729.913147
244,713.976257
245,719.847717
246,728.403381
247,727.564575
248,730.416504
249,730.584290
250,715.821533
251,709.782349
252,709.950012
253,721.189758
254,723.202881
255,723.873901
256,729.745361
257,722.699585
258,732.094055
259,711.627747
260,759.774109
261,793.157837
262,799.029297
263,798.693726
264,800.567139
265,808.741333
266,814.190857
267,809.592834
268,823.727478
269,818.278076
270,803.291870
271,812.317566
272,808.741333
273,798.353271
274,795.287842
275,804.483887
276,803.291870
277,806.357178
278,826.792847
279,830.879944
280,836.840332
281,838.032532
282,854.466125
283,859.149292
284,848.590881
285,848.931519
286,847.228516
287,860.000854
288,850.293823
289,851.485962
290,863.832520
291,875.327576
292,862.980957
293,855.743347
294,847.398743
295,842.460266
296,844.844421
297,840.927551
298,841.438354
299,858.723572
300,857.446350
301,851.485962
302,861.703735
303,860.426514
304,882.565186
305,903.426514
306,891.080017
307,900.872131
308,878.733459
309,851.485962
310,852.337402
311,831.390930
312,803.973022
313,816.575012
314,834.115540
315,862.980957
316,861.278015
317,828.495789
318,782.685852
319,767.018494
320,749.137329
321,692.939209
322,743.517517
323,720.867981
324,759.014587
325,796.990845
326,745.731323
327,686.638306
328,650.194580
329,679.826355
330,706.052124
331,757.481873
332,764.634399
333,806.697815
334,768.721497
335,738.919495
336,732.959045
337,723.592773
338,703.497742
339,709.628418
340,716.440247
341,743.858032
342,748.285828
343,756.289795
344,766.507690
345,757.652161
346,762.079895
347,752.713501
348,776.384888
349,764.123474
350,761.058105
351,765.485840
352,773.319519
353,775.022522
354,768.210632
355,773.830383
356,764.634399
357,773.489807
358,765.826416
359,765.996704
360,774.341370
361,793.074036
362,788.986877
363,745.220520
364,754.416504
365,774.681885
366,762.079895
367,786.432373
368,785.070007
369,751.180908
370,745.731323
371,745.050232
372,766.337341
373,781.323486
374,786.091797
375,788.475952
376,808.230408
377,796.990845
378,779.961121
379,795.798706
380,772.127441
381,782.685852
382,759.355164
383,768.040283
384,776.384888
385,795.969055
386,800.567139
387,800.056091
388,832.923584
389,828.325562
390,826.281982
391,813.339417
392,800.702209
393,803.335022
394,807.547424
395,798.771606
396,801.404297
397,806.143188
398,791.750977
399,789.995850
400,775.603455
401,778.236267
402,756.472351
403,760.860229
404,773.497375
405,765.248108
406,766.476685
407,764.019409
408,766.652100
409,771.215637
410,763.668457
411,765.599182
412,765.423645
413,774.199402
414,777.534180
415,796.489868
416,799.649109
417,783.677246
418,789.820251
419,796.489868
420,797.718506
421,791.399902
