,0
0,109.861748
1,108.438072
2,106.748299
3,108.291695
4,105.989899
5,108.105446
6,108.504593
7,106.761597
8,106.894669
9,106.907959
10,105.018608
11,106.083046
12,106.415672
13,104.273521
14,102.783318
15,100.800835
16,102.836555
17,101.718895
18,103.076050
19,103.821129
20,105.098442
21,104.712578
22,103.515121
23,101.652374
24,102.277740
25,101.678986
26,99.257431
27,98.884888
28,98.592163
29,98.671997
30,99.350555
31,99.230827
32,98.565552
33,99.297325
34,95.824669
35,91.141197
36,90.103386
37,89.863899
38,90.941628
39,92.192322
40,92.365288
41,91.872993
42,93.842171
43,94.733620
44,92.724533
45,92.258842
46,93.868797
47,92.897499
48,92.711227
49,92.897499
50,93.935310
51,94.560661
52,94.134880
53,94.720329
54,93.935310
55,94.334473
56,92.870895
57,90.875099
58,88.879318
59,89.331688
60,89.305069
61,87.389122
62,89.132103
63,89.118813
64,90.223137
65,91.008141
66,92.445122
67,92.737839
68,92.737839
69,93.243454
70,95.505333
71,95.904495
72,96.849182
73,96.822548
74,97.634171
75,95.971016
76,94.254646
77,94.693718
78,93.669212
79,92.312065
80,93.003952
81,94.387688
82,94.600571
83,95.585167
84,96.104073
85,94.028450
86,93.509537
87,93.482941
88,93.030548
89,91.872993
90,93.496239
91,94.800148
92,94.866699
93,95.611778
94,94.840080
95,94.214729
96,93.043861
97,92.884193
98,94.414291
99,95.372284
100,94.467529
101,93.895401
102,93.828857
103,93.176910
104,93.137001
105,93.203522
106,92.139091
107,92.471733
108,87.668518
109,84.382118
110,83.823303
111,83.064896
112,82.679039
113,84.089409
114,83.836601
115,83.597099
116,82.040382
117,83.889816
118,84.568398
119,86.018661
120,86.444435
121,86.098503
122,86.457748
123,88.932526
124,88.546684
125,87.887413
126,89.205925
127,89.549294
128,89.398216
129,88.821365
130,88.615341
131,87.914894
132,87.530304
133,88.711479
134,87.351768
135,88.134628
136,87.145744
137,86.692505
138,85.319046
139,86.362877
140,88.354393
141,88.807640
142,87.859947
143,88.423065
144,90.249748
145,91.279846
146,92.461014
147,91.870438
148,91.897911
149,90.991432
150,90.991432
151,90.469513
152,89.411942
153,87.956085
154,86.582642
155,87.145744
156,88.821365
157,88.134628
158,89.823990
159,90.483253
160,90.648064
161,100.262253
162,104.547432
163,103.860710
164,103.064095
165,104.149132
166,103.256378
167,101.429688
168,100.523209
169,101.086319
170,103.379967
171,102.377373
172,101.855453
173,102.789406
174,102.336182
175,101.800522
176,103.586014
