,0
0,662.798401
1,652.203613
2,634.441772
3,635.532410
4,627.118958
5,657.501038
6,686.792603
7,678.379028
8,677.288452
9,678.379028
10,678.223328
11,695.050293
12,675.262939
13,673.860718
14,662.175232
15,646.750549
16,664.512390
17,659.526489
18,662.175232
19,656.098755
20,664.200684
21,674.639709
22,681.183533
23,686.325195
24,685.546204
25,685.078735
26,688.506409
27,686.013611
28,683.053162
29,672.614258
30,682.274231
31,680.716125
32,685.078735
33,675.262939
34,677.288452
35,680.092834
36,679.313843
37,684.455566
38,685.546204
39,677.600037
40,683.209045
41,672.302551
42,687.104126
43,680.560364
44,623.535400
45,625.405090
46,642.855286
47,638.492676
48,648.308533
49,653.761719
50,659.214966
51,662.954285
52,658.747498
53,661.084473
54,659.526489
55,658.280029
56,666.070374
57,656.566162
58,648.620178
59,643.322754
60,674.795471
61,680.404602
62,679.937134
63,682.274231
64,675.730347
65,664.824036
66,666.070374
67,664.512390
68,667.005249
69,667.005249
70,663.733337
71,672.769958
72,680.872009
73,673.237549
74,660.149780
75,641.920471
76,627.118958
77,624.002747
78,628.832886
79,629.300171
80,631.637207
81,648.931702
82,651.580383
83,663.577515
84,663.889038
85,676.976807
86,664.512390
87,678.379028
88,679.625549
89,682.430054
90,679.313843
91,689.597046
92,708.605469
93,718.421204
94,727.613770
95,729.327576
96,710.007690
97,705.800964
98,743.973389
99,751.763733
100,745.064026
101,754.723877
102,758.463379
103,761.891113
104,751.763733
105,756.905212
106,747.712646
107,749.894043
108,732.132080
109,741.947937
110,744.752441
111,749.114868
112,750.049805
113,741.791992
114,746.154724
115,752.854248
116,737.741211
117,741.168884
118,749.582397
119,738.831726
120,746.154724
121,733.222778
122,748.491638
123,755.347168
124,753.321777
125,756.282043
126,769.993042
127,777.783264
128,781.366821
129,780.198181
130,774.857666
131,777.123535
132,787.966248
133,798.647217
134,800.589233
135,796.705200
136,786.833496
137,783.758484
138,786.509766
139,790.717346
140,792.173950
141,801.236572
142,818.876404
143,801.074768
144,804.635071
145,802.693054
146,803.178589
147,794.763306
148,793.468689
149,777.608887
150,772.915771
151,777.932617
152,773.239380
153,776.799805
154,762.396606
155,758.836182
156,741.843750
157,748.155334
158,749.288086
159,757.865234
160,765.956909
161,775.343262
162,787.318909
163,789.746460
164,785.215027
165,789.422729
166,758.350830
167,736.826965
168,731.971924
169,738.121582
170,740.387268
171,793.792236
172,785.700623
173,789.746460
174,772.753967
175,758.188965
176,770.811951
177,776.152405
178,762.720215
179,773.724976
180,777.123535
181,770.488220
182,766.442444
183,769.355408
184,786.509766
185,785.053284
186,783.434937
187,784.082214
188,781.331055
189,786.024353
190,796.057983
191,807.709961
192,824.135986
193,838.700928
194,828.586426
195,839.914673
196,822.517639
197,808.033508
198,813.616882
199,817.258057
200,815.639648
201,805.282471
202,801.074768
203,791.364807
204,798.323486
205,808.680969
206,823.731445
207,820.494751
208,795.572449
209,794.495605
210,806.588684
211,802.778564
212,793.501709
213,799.962341
214,798.305725
215,771.137817
216,792.341980
217,787.703613
218,769.646973
219,761.529724
220,758.879150
221,752.087219
222,758.547852
223,762.689209
224,760.701477
225,807.085632
226,808.576599
227,819.178650
228,806.919983
229,797.808716
230,799.631042
231,815.037231
232,822.657532
233,823.320129
234,836.158569
235,834.087830
236,832.845520
237,838.643433
238,825.308044
239,821.166504
240,818.184631
241,807.416870
242,810.398804
243,808.079529
244,802.612854
245,814.871582
246,828.289856
247,826.136353
248,835.744446
249,832.017151
250,828.703979
251,816.196777
252,790.685486
253,795.158264
254,786.875366
255,809.901794
256,801.287659
257,796.483459
258,795.820801
259,816.031189
260,847.340515
261,854.380981
262,858.522400
263,867.219482
264,868.461853
265,882.128723
266,886.270142
267,885.441895
268,892.482361
269,885.856018
270,883.371094
271,885.027649
272,886.684204
273,881.300293
274,887.098389
275,884.199402
276,877.987183
277,878.815491
278,880.057922
279,861.007202
280,857.694153
281,844.855591
282,844.441528
283,842.784973
284,842.784973
285,835.330322
286,825.639343
287,830.774719
288,814.043274
289,817.025146
290,819.178650
291,800.956299
292,782.733948
293,791.348145
294,803.441101
295,807.251282
296,806.257446
297,802.447144
298,798.305725
299,801.122009
300,815.202881
301,811.061401
302,809.404846
303,812.055359
304,806.754333
305,812.055359
306,815.202881
307,801.950256
308,765.671082
309,755.069031
310,752.418579
311,630.825562
312,623.536682
313,613.265808
314,625.358826
315,630.825562
316,602.498047
317,600.013245
318,556.776428
319,562.740173
320,530.768127
321,460.529083
322,461.854370
323,415.470215
324,405.779205
325,407.270142
326,411.908508
327,407.684296
328,405.862000
329,435.349152
330,449.761383
331,468.977783
332,429.054138
333,427.231903
334,456.719055
335,408.595337
336,427.397552
337,400.643829
338,424.912659
339,466.492828
340,462.020020
341,474.610077
342,474.941406
343,441.809814
344,439.159241
345,462.351379
346,456.222046
347,437.171387
348,447.442169
349,459.700836
