,0
0,3637.138916
1,3699.558838
2,3595.525879
3,3617.132813
4,3501.896729
5,3561.115234
6,3620.333984
7,3624.334961
8,3599.527344
9,3561.915527
10,3558.714600
11,3573.118896
12,3576.320313
13,3569.917969
14,3617.132813
15,3581.121582
16,3642.740723
17,3664.347656
18,3681.952881
19,3669.149170
20,3745.172852
21,3825.197998
22,3886.817627
23,3969.242920
24,3973.244629
25,3967.642822
26,3910.824463
27,3869.211426
28,3819.596191
29,3793.988525
30,3857.208008
31,3885.216553
32,3929.229980
33,3924.428955
34,3962.040527
35,3905.222656
36,3917.226807
37,3936.432373
38,3959.640381
39,3910.824463
40,3914.025146
41,3923.628662
42,3953.238037
43,3942.033936
44,3879.615234
45,3875.613770
46,3886.817627
47,3811.593994
48,3922.027832
49,3935.632324
50,3973.244629
51,3966.042236
52,3969.242920
53,3950.837891
54,3926.829834
55,3916.426270
56,3922.027832
57,3929.229980
58,3884.416992
59,3883.616455
60,3884.416992
61,3882.815674
62,3905.222656
63,3918.827148
64,3876.414307
65,3886.817627
66,3848.405029
67,3866.811035
68,3873.213379
69,3903.622559
70,4092.481934
71,4042.865234
72,4042.865234
73,3998.051758
74,4001.253174
75,3958.039551
76,3966.841797
77,4009.255127
78,4015.658203
79,4052.469482
80,4063.672363
81,4073.275391
82,4081.277588
83,4086.079102
84,4034.863770
85,4025.260742
86,4014.056885
87,4001.253174
88,3916.426270
89,3869.211426
90,3872.412598
91,3869.211426
92,3866.010742
93,3870.011963
94,3874.813477
95,3857.208008
96,3860.409180
97,3837.201904
98,3882.815674
99,3804.391357
100,3569.117432
101,3661.146484
102,3625.135254
103,3644.341553
104,3621.134277
105,3627.536133
106,3609.129883
107,3617.132813
108,3595.525879
109,3660.346191
110,3646.742432
111,3642.740723
112,3641.940430
113,3621.134277
114,3640.339844
115,3637.138916
116,3639.540039
117,3649.942871
118,3663.547119
119,3649.942871
120,3692.988525
121,3760.399414
122,3775.018799
123,3813.191406
124,3822.937744
125,3823.750000
126,3833.495850
127,3872.480713
128,3855.425049
129,3842.429932
130,3823.750000
131,3829.435059
132,3792.886719
133,3735.222168
134,3756.338379
135,3662.125732
136,3662.937744
137,3646.694092
138,3654.816162
139,3679.181396
140,3722.227051
141,3759.587402
142,3796.135742
143,3808.317871
144,3883.039063
145,3872.480713
146,3874.916992
147,3890.348633
148,3894.409668
149,3897.658203
150,3890.348633
151,3912.277832
152,3960.196289
153,3961.008301
154,3955.322998
155,3967.506592
156,3981.313721
157,3805.069580
158,3689.739990
159,3622.328613
160,3687.303223
161,3698.674072
162,3774.206543
163,3773.394775
164,3673.496338
165,3662.937744
166,3519.993896
167,3455.831299
168,3430.653809
169,3450.146484
170,3491.567627
171,3428.217529
172,3443.649170
173,3423.344482
174,3385.984131
175,3318.572998
176,3327.506836
177,3423.344482
178,3441.212402
179,3443.649170
180,3437.963623
181,3472.887451
182,3497.252930
183,3526.491455
184,3527.303711
185,3551.668945
186,3580.907471
187,3571.973633
188,3616.643311
189,3629.638672
190,3616.643311
191,3599.587646
192,3616.643311
193,3690.551758
194,3597.151123
195,3649.942871
196,3593.090332
197,3589.841309
198,3578.471191
199,3603.648682
200,3646.694092
201,3593.090332
202,3571.973633
203,3532.176758
204,3567.912598
205,3628.013916
206,3487.506348
207,3511.060059
208,3417.659180
209,3361.618896
210,3397.354492
211,3370.552490
212,3238.979004
213,3245.476563
214,3279.588379
